freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	group
A	ICCS0903	NR	AL									84.0	77.0	67.0	84.0	107.0	202.0	152.0	276.0	ICCS09
A	ICCS0903	NR	AT									13103.0	3187.0	2762.0	7292.0	12585.0	15089.0	21974.0	20493.0	ICCS09
A	ICCS0903	NR	BA											5.0	8.0	63.0	24.0	24.0	13.0	ICCS09
A	ICCS0903	NR	BE									3660.0	3985.0	5461.0	6553.0	9430.0	8837.0	9544.0		ICCS09
A	ICCS0903	NR	BG									58.0	71.0	58.0	66.0	48.0	51.0	61.0	104.0	ICCS09
A	ICCS0903	NR	CY									40.0	49.0	59.0	72.0	174.0	146.0	114.0	188.0	ICCS09
A	ICCS0903	NR	CZ										784.0	893.0	1092.0	1287.0	1866.0	2848.0	1909.0	ICCS09
A	ICCS0903	NR	DE									15060.0	12954.0	11495.0	13026.0	14416.0	19704.0	16566.0	13067.0	ICCS09
A	ICCS0903	NR	EE									130.0	167.0	205.0	197.0	255.0	250.0	231.0		ICCS09
A	ICCS0903	NR	EL									142.0	193.0	280.0	349.0	367.0	387.0	801.0		ICCS09
A	ICCS0903	NR	ES										4441.0	4576.0	5477.0	6243.0	7480.0	7240.0	9026.0	ICCS09
A	ICCS0903	NR	FI									1008.0	935.0	918.0	1142.0	1594.0	1972.0	2280.0	16673.0	ICCS09
A	ICCS0903	NR	FR									10549.0	10169.0	9943.0	11400.0	13508.0	15296.0	15898.0	17916.0	ICCS09
A	ICCS0903	NR	HR									1703.0	1186.0	1376.0	2812.0	1033.0	1297.0	1537.0	1688.0	ICCS09
A	ICCS0903	NR	HU										5069.0	3622.0	3242.0	4301.0	3860.0	5892.0	10706.0	ICCS09
A	ICCS0903	NR	IE											37.0	102.0	73.0	107.0	99.0	78.0	ICCS09
A	ICCS0903	NR	IT										9430.0	12042.0	14915.0	17990.0	20103.0	32720.0	28934.0	ICCS09
A	ICCS0903	NR	LT									497.0	629.0	545.0	439.0	460.0	705.0	917.0	637.0	ICCS09
A	ICCS0903	NR	LV										5.0	18.0	5.0	5.0	16.0	41.0	9.0	ICCS09
A	ICCS0903	NR	ME										1.0	1.0	6.0	5.0	9.0	5.0	1.0	ICCS09
A	ICCS0903	NR	MK																113.0	ICCS09
A	ICCS0903	NR	MT										187.0	224.0	211.0	320.0	398.0	469.0	855.0	ICCS09
A	ICCS0903	NR	NL										2320.0	2945.0	4865.0					ICCS09
A	ICCS0903	NR	PL									3130.0	2873.0	2852.0	5540.0	6115.0	6171.0	7290.0	5788.0	ICCS09
A	ICCS0903	NR	PT									801.0	976.0	924.0	1319.0	1672.0	1496.0	2219.0	2512.0	ICCS09
A	ICCS0903	NR	RO										1074.0	1320.0	1226.0	1203.0	1502.0	2157.0	2349.0	ICCS09
A	ICCS0903	NR	SE									7553.0	7058.0	8827.0	9052.0	8949.0	11566.0	9299.0	11356.0	ICCS09
A	ICCS0903	NR	SI									273.0	202.0	237.0	239.0	222.0	167.0	214.0	231.0	ICCS09
A	ICCS0903	NR	SK									243.0	26.0	57.0	71.0	62.0	72.0	44.0	38.0	ICCS09
A	ICCS0903	NR	XK									181.0	154.0							ICCS09
A	ICCS0903	P_HTHAB	AL									2.92	2.68	2.33	2.93	3.76	7.14	5.44	9.99	ICCS09
A	ICCS0903	P_HTHAB	AT									150.6	36.33	31.31	82.31	141.39	168.92	244.73	225.08	ICCS09
A	ICCS0903	P_HTHAB	BE									32.36	35.1	47.91	57.2	81.84	76.48	82.15		ICCS09
A	ICCS0903	P_HTHAB	BG									0.81	1.0	0.82	0.94	0.69	0.74	0.94	1.61	ICCS09
A	ICCS0903	P_HTHAB	CY									4.72	5.73	6.83	8.22	19.59	16.29	12.6	19.81	ICCS09
A	ICCS0903	P_HTHAB	CZ										7.41	8.42	10.25	12.03	17.44	27.08	17.63	ICCS09
A	ICCS0903	P_HTHAB	DE									18.33	15.7	13.88	15.69	17.33	23.7	19.9	15.72	ICCS09
A	ICCS0903	P_HTHAB	EE									9.88	12.69	15.54	14.87	19.19	18.8	17.34		ICCS09
A	ICCS0903	P_HTHAB	EL									1.32	1.79	2.61	3.25	3.42	3.62	7.66		ICCS09
A	ICCS0903	P_HTHAB	ES										9.54	9.81	11.67	13.19	15.78	15.26	18.77	ICCS09
A	ICCS0903	P_HTHAB	FI									18.37	16.99	16.65	20.7	28.85	35.64	41.09	299.66	ICCS09
A	ICCS0903	P_HTHAB	FR									15.83	15.22	14.83	16.97	20.02	22.58	23.35	26.24	ICCS09
A	ICCS0903	P_HTHAB	HR									40.64	28.55	33.52	68.99	25.45	32.13	39.79	43.83	ICCS09
A	ICCS0903	P_HTHAB	HU										51.74	37.04	33.17	44.02	39.67	60.81	111.52	ICCS09
A	ICCS0903	P_HTHAB	IE											0.77	2.08	1.46	2.11	1.92	1.48	ICCS09
A	ICCS0903	P_HTHAB	IT										15.56	19.91	24.93	30.16	33.94	55.43	49.04	ICCS09
A	ICCS0903	P_HTHAB	LT									17.21	22.09	19.4	15.71	16.46	25.22	32.68	22.29	ICCS09
A	ICCS0903	P_HTHAB	LV										0.26	0.93	0.26	0.26	0.85	2.19	0.48	ICCS09
A	ICCS0903	P_HTHAB	ME										0.16	0.16	0.96	0.8	1.45	0.81	0.16	ICCS09
A	ICCS0903	P_HTHAB	MK																6.18	ICCS09
A	ICCS0903	P_HTHAB	MT										40.63	47.09	42.75	62.19	77.12	90.02	157.73	ICCS09
A	ICCS0903	P_HTHAB	NL										13.58	17.14	28.15					ICCS09
A	ICCS0903	P_HTHAB	PL									8.24	7.57	7.51	14.59	16.11	16.31	19.36	15.75	ICCS09
A	ICCS0903	P_HTHAB	PT									7.75	9.47	8.98	12.83	16.24	14.53	21.44	23.89	ICCS09
A	ICCS0903	P_HTHAB	RO										5.47	6.76	6.31	6.22	7.82	11.33	12.33	ICCS09
A	ICCS0903	P_HTHAB	SE									76.67	70.61	87.22	88.48	86.65	111.43	88.97	107.93	ICCS09
A	ICCS0903	P_HTHAB	SI									13.23	9.78	11.47	11.49	10.59	7.92	10.16	10.91	ICCS09
A	ICCS0903	P_HTHAB	SK									4.48	0.48	1.05	1.3	1.14	1.32	0.81	0.7	ICCS09
A	ICCS0903	P_HTHAB	XK									10.22	8.63							ICCS09
A	ICCS09051	NR	AL									10.0	13.0	32.0	38.0	15.0	27.0	38.0	45.0	ICCS09
A	ICCS09051	NR	AT									57.0	74.0	79.0	119.0	94.0	90.0	88.0	147.0	ICCS09
A	ICCS09051	NR	BA									28.0	29.0	21.0	52.0	88.0	69.0	122.0	63.0	ICCS09
A	ICCS09051	NR	BE									242.0	285.0	263.0	308.0	330.0	554.0	373.0	330.0	ICCS09
A	ICCS09051	NR	BG									67.0	65.0	103.0	106.0	89.0	66.0	49.0	77.0	ICCS09
A	ICCS09051	NR	CH									70.0	64.0	11.0	57.0	42.0	21.0	25.0	31.0	ICCS09
A	ICCS09051	NR	CY									0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	ICCS09
A	ICCS09051	NR	CZ									11.0	5.0	9.0	24.0	18.0	22.0	22.0	32.0	ICCS09
A	ICCS09051	NR	DE									563.0	572.0	535.0	579.0	594.0	696.0	639.0	642.0	ICCS09
A	ICCS09051	NR	EE										34.0	16.0	5.0	3.0	1.0	2.0	0.0	ICCS09
A	ICCS09051	NR	EL									405.0	459.0	335.0	377.0	395.0	358.0	342.0	437.0	ICCS09
A	ICCS09051	NR	ES									1211.0	1136.0	1425.0	1165.0	1317.0	1668.0	2034.0	2042.0	ICCS09
A	ICCS09051	NR	FI									2.0	0.0	1.0	2.0	3.0	3.0	3.0	0.0	ICCS09
A	ICCS09051	NR	FR									1339.0	1548.0	1551.0	1607.0	1651.0	2169.0	2100.0	2778.0	ICCS09
A	ICCS09051	NR	HR									17.0	18.0	15.0	25.0	28.0	20.0	36.0	15.0	ICCS09
A	ICCS09051	NR	IT									780.0	691.0	614.0	556.0	602.0	704.0	442.0	401.0	ICCS09
