freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS0101	Austria		88.0	78.0	99.0	66.0	77.0	60.0	82.0	70.0	65.0	50.0	59.0	54.0	60.0	45.0
A	NR	ICCS0101	Belgium								216.0	282.0	320.0	229.0	267.0	221.0	223.0	211.0
A	NR	ICCS0101	Bulgaria			461.0	404.0	369.0	381.0	327.0	332.0	308.0	255.0	247.0	240.0	196.0	183.0	169.0
A	NR	ICCS0101	Switzerland		80.0	82.0	83.0	87.0	76.0	89.0	69.0	86.0	86.0	73.0	79.0	75.0	60.0	51.0
A	NR	ICCS0101	Cyprus	9.0	8.0	10.0	10.0	7.0	7.0	10.0	8.0	7.0	3.0	15.0	15.0	15.0	12.0	11.0
A	NR	ICCS0101	Czechia		207.0		181.0	186.0	183.0	175.0	179.0	157.0	147.0	161.0	134.0	108.0	130.0	126.0
A	NR	ICCS0101	Germany	1250.0	1343.0	1406.0	1382.0	1265.0	998.0	1020.0	1015.0	925.0	955.0	859.0	868.0	869.0	808.0	757.0
A	NR	ICCS0101	Denmark	78.0	89.0	70.0	82.0	123.0	60.0	68.0	79.0	62.0	58.0	82.0	60.0	70.0	45.0	76.0
A	NR	ICCS0101	Estonia		302.0	246.0	214.0	178.0	196.0	157.0	143.0	137.0	142.0	147.0	91.0	113.0	91.0	93.0
A	NR	ICCS0101	Greece	150.0	133.0	151.0	169.0	203.0	176.0	155.0	146.0	132.0	94.0	116.0	111.0	132.0	110.0	128.0
A	NR	ICCS0101	Spain		429.0	411.0	397.0	463.0	522.0	486.0	553.0	577.0	564.0	587.0	520.0	518.0	476.0	482.0
A	NR	ICCS0101	Finland	130.0	147.0	146.0	156.0	139.0	113.0	143.0	148.0	156.0	132.0	103.0	144.0	113.0	112.0	128.0
A	NR	ICCS0101	France		1406.0	1336.0	1171.0	963.0	961.0	953.0	1051.0	1046.0	1119.0	987.0	990.0	976.0	879.0	826.0
A	NR	ICCS0101	Metropolitan France		1406.0	1336.0	1171.0	963.0	961.0	953.0	1051.0	1046.0	1119.0	987.0	990.0	976.0	879.0	826.0
A	NR	ICCS0101	Croatia	243.0	161.0	188.0	133.0	137.0	131.0	121.0	111.0	86.0	88.0	76.0	89.0	76.0	75.0	66.0
A	NR	ICCS0101	Hungary	298.0	313.0	296.0	271.0	289.0	289.0	253.0	205.0	254.0	203.0	228.0	209.0	164.0	175.0	137.0
A	NR	ICCS0101	Ireland		32.0	53.0	46.0	53.0	51.0	47.0	56.0	58.0	59.0	52.0	45.0	65.0	70.0	85.0
A	NR	ICCS0101	Iceland		0.0	0.0	1.0	2.0	0.0	2.0	5.0	1.0	4.0	0.0	3.0	3.0	0.0	2.0
A	NR	ICCS0101	Italy	1120.0	1008.0	1042.0	1001.0	924.0	918.0	854.0	818.0	765.0	691.0	765.0	767.0	648.0	663.0	685.0
A	NR	ICCS0101	Liechtenstein		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A	NR	ICCS0101	Lithuania	498.0	560.0	485.0	389.0	370.0	343.0	334.0	408.0	377.0	316.0	385.0	356.0	404.0	302.0	284.0
A	NR	ICCS0101	Luxembourg		6.0	2.0	4.0	4.0	4.0	6.0	4.0	6.0	4.0	3.0	2.0	4.0	9.0	7.0
A	NR	ICCS0101	Latvia			281.0	256.0	259.0	238.0	214.0	219.0	214.0	207.0	220.0	199.0	127.0	148.0	117.0
A	NR	ICCS0101	Montenegro										27.0	20.0	14.0	22.0	25.0	10.0
A	NR	ICCS0101	North Macedonia								51.0	55.0	60.0	70.0	49.0	49.0	45.0	42.0
A	NR	ICCS0101	Malta						5.0	10.0	4.0	5.0	5.0	0.0	7.0	4.0	0.0	4.0
A	NR	ICCS0101	Netherlands		276.0	299.0	211.0	208.0	176.0	203.0	180.0	202.0	195.0	202.0	191.0	174.0	128.0	143.0
A	NR	ICCS0101	Norway	38.0	33.0	42.0	43.0	38.0	38.0	33.0	48.0	37.0	46.0	51.0	36.0	33.0	33.0	30.0
A	NR	ICCS0101	Poland	898.0	915.0	854.0	873.0	807.0	759.0	741.0	855.0	776.0	716.0	663.0	633.0	555.0	490.0	525.0
A	NR	ICCS0101	Portugal		143.0	109.0	106.0	114.0	125.0	109.0	116.0	105.0	119.0	149.0	144.0	135.0	155.0	185.0
A	NR	ICCS0101	Romania	722.0	749.0	758.0	722.0	693.0	559.0	566.0	581.0	597.0	563.0	551.0	516.0	453.0	438.0	416.0
A	NR	ICCS0101	Serbia								228.0	243.0	200.0	176.0	164.0	157.0	160.0	182.0
A	NR	ICCS0101	Sweden	102.0	98.0	83.0	97.0	91.0	93.0	99.0	89.0	84.0	101.0	81.0	102.0	83.0	91.0	111.0
A	NR	ICCS0101	Slovenia			45.0	38.0	36.0	15.0	25.0	36.0	15.0	29.0	21.0	29.0	20.0	12.0	24.0
A	NR	ICCS0101	Slovakia		129.0	128.0	132.0	140.0	128.0	141.0	143.0	129.0	128.0	146.0	122.0	106.0	89.0	89.0
A	NR	ICCS0101	Turkey	4043.0	3999.0	5684.0	5955.0	5516.0	5451.0	5068.0	6663.0	5527.0	5394.0	5062.0	4829.0	4879.0	4663.0	3090.0
A	NR	ICCS0101	England and Wales	670.0	727.0	753.0	679.0	739.0	750.0	766.0	850.0	891.0	1047.0	904.0	868.0	764.0	758.0	775.0
A	NR	ICCS0101	Scotland	116.0	111.0	133.0	134.0	90.0	96.0	120.0	104.0	111.0	128.0	109.0	139.0	102.0	123.0	111.0
A	NR	ICCS0101	Northern Ireland		86.0	24.0	39.0	42.0	75.0	34.0	48.0	52.0	45.0	33.0	41.0	29.0	24.0	30.0
A	NR	ICCS02-04	Austria							36211.0	39111.0	34383.0	36998.0	40008.0	41044.0	42928.0	43316.0	46217.0
A	NR	ICCS02-04	Belgium								103770.0	103017.0	107974.0	108573.0	109175.0	111451.0	113952.0	115645.0
A	NR	ICCS02-04	Bulgaria							12887.0	11018.0	10950.0	12176.0	12796.0	11284.0	10623.0	8766.0	8696.0
A	NR	ICCS02-04	Switzerland	6606.0	6002.0	6042.0	6932.0	7472.0	8015.0	8528.0	8152.0	8653.0	9265.0	10151.0	11917.0	11544.0	12784.0	13537.0
A	NR	ICCS02-04	Cyprus	149.0	170.0	198.0	180.0	186.0	176.0	197.0	185.0	200.0	203.0	294.0	383.0	325.0	319.0	301.0
A	NR	ICCS02-04	Czechia	20263.0	20573.0	22114.0	23212.0	23576.0	23810.0	23581.0	22206.0	22017.0	23956.0	22763.0	24025.0	22079.0	19454.0	19976.0
A	NR	ICCS02-04	Germany	160680.0	156272.0	170170.0	179455.0	186447.0	186306.0	186655.0	187103.0	188413.0	197492.0	204124.0	211172.0	212832.0	215471.0	217923.0
