freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	F	NR	Albania						4.0	3.0	5.0	3.0	2.0	1.0	0.0	2.0	0.0	3.0	1.0
A	ICCS0101	PER_CNV	F	NR	Austria	6.0	3.0	3.0	3.0	4.0	5.0	4.0	4.0	4.0	2.0	2.0	2.0	4.0	6.0	1.0	2.0
A	ICCS0101	PER_CNV	F	NR	Bosnia and Herzegovina				6.0	6.0	24.0	14.0	11.0	8.0	14.0	5.0	2.0	7.0	4.0	7.0	8.0
A	ICCS0101	PER_CNV	F	NR	Belgium			24.0	33.0	21.0	22.0	20.0	12.0	11.0	14.0	8.0	13.0	7.0			
A	ICCS0101	PER_CNV	F	NR	Bulgaria	9.0	9.0	13.0	7.0	10.0	11.0	8.0	5.0	5.0	2.0	10.0	2.0	2.0	6.0	3.0	2.0
A	ICCS0101	PER_CNV	F	NR	Switzerland	5.0	7.0	7.0	7.0	5.0	4.0	1.0	5.0	5.0	4.0	5.0	3.0	1.0	4.0	4.0	1.0
A	ICCS0101	PER_CNV	F	NR	Cyprus	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	
A	ICCS0101	PER_CNV	F	NR	Czechia	15.0	11.0	19.0	23.0	13.0	18.0	21.0	14.0	17.0	13.0	16.0	12.0	20.0	17.0	11.0	22.0
A	ICCS0101	PER_CNV	F	NR	Germany		48.0	38.0	39.0	29.0	29.0	33.0	36.0	31.0	40.0	35.0	29.0	34.0	28.0	40.0	38.0
A	ICCS0101	PER_CNV	F	NR	Denmark	1.0	1.0	6.0	2.0	3.0	4.0	6.0	3.0	4.0	3.0	4.0	1.0	3.0	3.0	4.0	5.0
A	ICCS0101	PER_CNV	F	NR	Estonia			3.0	2.0	3.0	8.0	4.0	4.0	2.0	7.0	2.0	1.0	1.0	1.0	6.0	
A	ICCS0101	PER_CNV	F	NR	Greece														18.0	18.0	6.0
