freq	leg_stat	sex	unit	geo	2022 	2023 
A	ADM	CRT_BGHT	NR	Austria	50122.0	50610.0
A	ADM	CRT_BGHT	NR	Belgium	19736.0	24485.0
A	ADM	CRT_BGHT	NR	Bulgaria	28217.0	29222.0
A	ADM	CRT_BGHT	NR	Cyprus	11561.0	10381.0
A	ADM	CRT_BGHT	NR	Czechia	7702.0	7982.0
A	ADM	CRT_BGHT	NR	Germany	492802.0	501171.0
A	ADM	CRT_BGHT	NR	Denmark		
A	ADM	CRT_BGHT	NR	Estonia	2770.0	3081.0
A	ADM	CRT_BGHT	NR	Greece	52463.0	51130.0
A	ADM	CRT_BGHT	NR	Spain	183873.0	175295.0
A	ADM	CRT_BGHT	NR	Finland	21203.0	21317.0
A	ADM	CRT_BGHT	NR	France	241187.0	257329.0
A	ADM	CRT_BGHT	NR	Croatia	12724.0	15998.0
A	ADM	CRT_BGHT	NR	Hungary	19551.0	19431.0
A	ADM	CRT_BGHT	NR	Italy	51576.0	50324.0
A	ADM	CRT_BGHT	NR	Lithuania	23365.0	21425.0
A	ADM	CRT_BGHT	NR	Luxembourg	1151.0	1206.0
A	ADM	CRT_BGHT	NR	Latvia	1874.0	1566.0
A	ADM	CRT_BGHT	NR	Malta	141.0	149.0
A	ADM	CRT_BGHT	NR	Netherlands	92752.0	123615.0
A	ADM	CRT_BGHT	NR	Poland	77737.0	70158.0
A	ADM	CRT_BGHT	NR	Portugal	24212.0	25607.0
A	ADM	CRT_BGHT	NR	Romania	83439.0	80026.0
A	ADM	CRT_BGHT	NR	Sweden	152422.0	159552.0
A	ADM	CRT_BGHT	NR	Slovenia	2718.0	2648.0
A	ADM	CRT_BGHT	NR	Slovakia	5148.0	4613.0
A	ADM	CRT_BGHT	P_HTHAB	Austria	558.22	555.86
A	ADM	CRT_BGHT	P_HTHAB	Belgium	169.88	208.51
A	ADM	CRT_BGHT	P_HTHAB	Bulgaria	412.59	453.22
A	ADM	CRT_BGHT	P_HTHAB	Cyprus	1277.88	1093.79
A	ADM	CRT_BGHT	P_HTHAB	Czechia	73.24	73.72
A	ADM	CRT_BGHT	P_HTHAB	Germany	592.05	602.96
A	ADM	CRT_BGHT	P_HTHAB	Denmark		
A	ADM	CRT_BGHT	P_HTHAB	Estonia	207.99	225.57
A	ADM	CRT_BGHT	P_HTHAB	Greece	501.57	490.97
A	ADM	CRT_BGHT	P_HTHAB	Spain	387.65	364.55
A	ADM	CRT_BGHT	P_HTHAB	Finland	382.16	383.13
A	ADM	CRT_BGHT	P_HTHAB	France	355.36	376.89
A	ADM	CRT_BGHT	P_HTHAB	Croatia	329.44	415.44
A	ADM	CRT_BGHT	P_HTHAB	Hungary	201.79	202.41
A	ADM	CRT_BGHT	P_HTHAB	Italy	87.37	85.3
A	ADM	CRT_BGHT	P_HTHAB	Lithuania	832.68	749.84
A	ADM	CRT_BGHT	P_HTHAB	Luxembourg	178.34	182.5
