freq	leg_case	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A	ADM	CRT_BGHT	NR	Albania						4432.0	21425.0	14098.0	14870.0	11952.0	11429.0	20698.0	18129.0	15207.0	
A	ADM	CRT_BGHT	NR	Bosnia and Herzegovina	8115.0	9214.0	10992.0	12066.0	11611.0	14559.0	13797.0	9109.0	7259.0	7026.0	7632.0	7932.0	7279.0	7938.0	9426.0
A	ADM	CRT_BGHT	NR	Bulgaria				27794.0	28173.0	25866.0	24306.0	25936.0	24620.0	30872.0	30600.0	34205.0	28782.0	28075.0	27299.0
A	ADM	CRT_BGHT	NR	Switzerland	15361.0		20209.0		23788.0				9021.0						
A	ADM	CRT_BGHT	NR	Czechia				5274.0	8501.0	8034.0	8568.0	9374.0	10100.0	11113.0	11865.0	10576.0	10015.0	9303.0	7702.0
A	ADM	CRT_BGHT	NR	Germany	127735.0	123183.0	123864.0	119531.0	132789.0	151463.0	142947.0	144628.0	230801.0	352331.0	199170.0	170379.0	150041.0	153720.0	145155.0
A	ADM	CRT_BGHT	NR	Estonia	2736.0	3264.0	3556.0	3206.0	2855.0	2957.0	3786.0	3371.0	2956.0	2986.0	2478.0	2533.0	2737.0	3119.0	2770.0
A	ADM	CRT_BGHT	NR	Greece						65353.0	65131.0	54379.0	53934.0	60100.0	60320.0	59157.0	45159.0	46741.0	52463.0
A	ADM	CRT_BGHT	NR	Spain	256609.0	260708.0	246427.0	251807.0	193871.0	164704.0	180127.0	166195.0	162186.0	165146.0	175010.0	199523.0	154977.0	184562.0	183873.0
A	ADM	CRT_BGHT	NR	Finland	19432.0	21376.0	22079.0	20147.0	19313.0	19458.0	20582.0	20262.0	27764.0	21711.0	18751.0	20000.0	19510.0	21906.0	21282.0
A	ADM	CRT_BGHT	NR	France				192262.0	187526.0	184997.0	207707.0	200734.0	31308.0	193532.0	213029.0	231280.0	210514.0	241384.0	241187.0
A	ADM	CRT_BGHT	NR	Croatia	13298.0	14761.0	14470.0	13520.0	12011.0	13813.0	13942.0	14339.0	14339.0	11816.0	13430.0	13034.0	12255.0	13408.0	12724.0
A	ADM	CRT_BGHT	NR	Hungary	12928.0	13496.0	14360.0	12879.0	12595.0	22208.0	18008.0	18149.0	19590.0	16908.0	17120.0	16432.0	29254.0	20582.0	19551.0
A	ADM	CRT_BGHT	NR	Italy	56021.0	55073.0	56716.0	55437.0	51366.0	54902.0	63723.0	61723.0	54565.0	48555.0	49968.0	50874.0	42049.0	48107.0	51576.0
A	ADM	CRT_BGHT	NR	Lithuania	4703.0	4349.0	7681.0	5964.0	8068.0	17932.0	14276.0	16923.0	14917.0	11699.0	14899.0	14273.0	14890.0	16124.0	23365.0
A	ADM	CRT_BGHT	NR	Luxembourg							1372.0	1274.0	1156.0	1213.0	1246.0	1456.0	1095.0	1077.0	1151.0
A	ADM	CRT_BGHT	NR	Latvia	3661.0	4086.0	4403.0	4703.0	4001.0	2824.0	2404.0	2368.0	2395.0	2104.0	1864.0	1872.0	1697.0	1905.0	1874.0
