freq	iccs	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	F	NR	Albania	51.0	9.0	27.0	32.0	28.0	22.0	16.0	4.0	4.0	3.0	3.0	2.0	1.0	1.0	1.0	0.0
A	ICCS0101	F	NR	Austria	36.0	36.0	37.0	31.0	32.0	37.0	37.0	37.0	6.0	39.0	30.0	31.0	33.0	37.0	38.0	42.0
A	ICCS0101	F	NR	Bosnia and Herzegovina						20.0	21.0	20.0	10.0		10.0	25.0	24.0	22.0	22.0	0.0
A	ICCS0101	F	NR	Belgium	51.0	40.0	45.0	49.0	63.0											
A	ICCS0101	F	NR	Bulgaria	52.0	53.0	54.0	43.0	37.0	34.0	36.0	37.0	37.0	34.0	39.0	36.0	33.0	32.0	28.0	59.0
A	ICCS0101	F	NR	Switzerland	21.0	29.0	32.0	31.0	34.0	33.0	41.0	43.0	46.0	49.0	53.0	60.0	62.0	60.0	54.0	
A	ICCS0101	F	NR	Cyprus		0.0	1.0	1.0	1.0	2.0									2.0	
A	ICCS0101	F	NR	Czechia				96.0	89.0	96.0	107.0	108.0	119.0	114.0	119.0	109.0	115.0	109.0	119.0	110.0
A	ICCS0101	F	NR	Germany						249.0	229.0	229.0	211.0	204.0	212.0	215.0	222.0	213.0	215.0	221.0
A	ICCS0101	F	NR	Denmark	14.0	14.0	15.0	18.0	16.0	14.0	13.0	9.0	9.0	12.0	9.0	12.0	11.0	8.0	14.0	11.0
A	ICCS0101	F	NR	Estonia			32.0	25.0		28.0		23.0	21.0	18.0	15.0	16.0	13.0	13.0	15.0	11.0
A	ICCS0101	F	NR	Greece	44.0	41.0	21.0	44.0	46.0	52.0	60.0	49.0	67.0	57.0	49.0	54.0	59.0	59.0	60.0	54.0
A	ICCS0101	F	NR	Spain	150.0	172.0	195.0	187.0	234.0	257.0	259.0	278.0	300.0	317.0	61.0	289.0	287.0	317.0	326.0	298.0
A	ICCS0101	F	NR	Finland	54.0	52.0	58.0	56.0	60.0	64.0	53.0	60.0	54.0	51.0	45.0	45.0	39.0	43.0	39.0	30.0
A	ICCS0101	F	NR	France	245.0	240.0	246.0	253.0	254.0	327.0	309.0	210.0	334.0	468.0	487.0	509.0	384.0	374.0		407.0
A	ICCS0101	F	NR	Croatia	15.0	24.0	16.0		13.0	17.0	15.0	16.0			18.0	20.0	17.0	21.0	21.0	15.0
A	ICCS0101	F	NR	Hungary						139.0	155.0	136.0		170.0	37.0	93.0	133.0	164.0	132.0	136.0
A	ICCS0101	F	NR	Ireland						18.0										
A	ICCS0101	F	NR	Iceland						1.0				1.0	0.0					
A	ICCS0101	F	NR	Italy	138.0	148.0	168.0	161.0	150.0	287.0	289.0	253.0	267.0	287.0	286.0	279.0	282.0	275.0	281.0	293.0
A	ICCS0101	F	NR	Liechtenstein						0.0	0.0	0.0	0.0							
A	ICCS0101	F	NR	Lithuania	82.0	79.0	82.0	90.0	83.0	97.0	100.0	91.0	89.0	89.0	89.0	74.0	71.0	56.0	46.0	49.0
A	ICCS0101	F	NR	Luxembourg				4.0	4.0	5.0	4.0	5.0	1.0	5.0						
A	ICCS0101	F	NR	Latvia						45.0	46.0	49.0	47.0	42.0	38.0	39.0	33.0	33.0	34.0	33.0
A	ICCS0101	F	NR	Montenegro	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0
A	ICCS0101	F	NR	Malta						1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
A	ICCS0101	F	NR	Norway	9.0	11.0	11.0	12.0	9.0	6.0	9.0	11.0	12.0	14.0	17.0	16.0	17.0	17.0	15.0	13.0
A	ICCS0101	F	NR	Poland									364.0	374.0	370.0	357.0	352.0	372.0	368.0	370.0
A	ICCS0101	F	NR	Portugal	13.0	13.0	13.0	15.0	14.0	12.0	15.0	15.0	16.0	17.0	17.0	15.0	11.0	16.0	13.0	
A	ICCS0101	F	NR	Romania	277.0	267.0	259.0	261.0	237.0	245.0	249.0	254.0	246.0	205.0	182.0	172.0	187.0	221.0	184.0	210.0
A	ICCS0101	F	NR	Serbia						50.0	52.0	50.0	46.0	42.0	36.0	48.0	50.0	23.0	44.0	55.0
A	ICCS0101	F	NR	Sweden	28.0	29.0	25.0	28.0	26.0	29.0	25.0	28.0	31.0	33.0	38.0	41.0	45.0	55.0	61.0	60.0
A	ICCS0101	F	NR	Slovenia									4.0	3.0	5.0	6.0	5.0	4.0	4.0	5.0
A	ICCS0101	F	NR	Slovakia							33.0	30.0	31.0	28.0	32.0	35.0	33.0	39.0		42.0
A	ICCS0101	F	NR	Turkey		48.0	120.0	126.0	172.0	1067.0	1072.0	1112.0	1142.0		1187.0	1201.0	1270.0	1380.0	1518.0	1295.0
A	ICCS0101	F	NR	England and Wales	185.0	213.0	211.0	211.0	231.0	256.0	256.0	260.0	279.0	281.0	278.0					
A	ICCS0101	F	NR	Scotland	29.0	38.0	44.0	54.0	56.0	56.0	56.0									
A	ICCS0101	F	NR	Northern Ireland		6.0	6.0	7.0	8.0	11.0	11.0	9.0	7.0	9.0	9.0					
A	ICCS0101	F	NR	Kosovo		12.0	16.0	20.0	23.0	16.0	14.0	11.0		13.0	15.0	8.0	10.0			
A	ICCS0101	F	P_HTHAB	Albania	3.22	0.56		2.27			1.11	0.28	0.28	0.21	0.21	0.14	0.07	0.07	0.07	0.0
A	ICCS0101	F	P_HTHAB	Austria	0.84	0.84	0.86	0.72	0.74	0.85	0.85	0.84	0.14	0.87	0.67	0.69	0.73	0.82	0.83	0.91
A	ICCS0101	F	P_HTHAB	Belgium	0.94	0.73	0.81	0.88	1.12											
A	ICCS0101	F	P_HTHAB	Bulgaria	1.35	1.38	1.42	1.14	0.98	0.91	0.97	1.0	1.01	0.93	1.08	1.0	0.92	0.9	0.79	1.76
A	ICCS0101	F	P_HTHAB	Switzerland	0.54	0.74	0.81	0.78	0.84	0.81	1.0	1.03	1.09	1.15	1.24	1.39	1.43	1.37	1.23	
A	ICCS0101	F	P_HTHAB	Cyprus		0.0	0.24	0.23	0.23	0.45									0.43	
A	ICCS0101	F	P_HTHAB	Czechia				1.8	1.66	1.79	2.0	2.01	2.22	2.12	2.21	2.02	2.12	2.01	2.23	1.99
A	ICCS0101	F	P_HTHAB	Germany						0.61	0.56	0.55	0.51	0.49	0.51	0.51	0.53	0.51	0.51	0.52
A	ICCS0101	F	P_HTHAB	Denmark	0.51	0.5	0.54	0.64	0.57	0.5	0.46	0.32	0.31	0.42	0.31	0.41	0.38	0.27	0.47	0.37
A	ICCS0101	F	P_HTHAB	Estonia			4.49	3.52		3.98		3.28	3.0	2.58	2.15	2.29	1.86	1.86	2.15	1.53
A	ICCS0101	F	P_HTHAB	Greece	0.78	0.73	0.37	0.78	0.81	0.92	1.06	0.88	1.21	1.03	0.89	0.98	1.07	1.08	1.12	1.01
A	ICCS0101	F	P_HTHAB	Spain	0.65	0.74	0.83	0.79	0.99	1.08	1.1	1.18	1.27	1.34	0.26	1.21	1.19	1.31	1.35	1.22
A	ICCS0101	F	P_HTHAB	Finland	2.0	1.92	2.13	2.05	2.18	2.32	1.91	2.16	1.94	1.83	1.61	1.61	1.39	1.54	1.39	1.07
A	ICCS0101	F	P_HTHAB	France	0.74	0.72	0.74	0.75	0.75	0.97	0.91	0.61	0.97	1.36	1.41	1.47	1.1	1.07		1.16
A	ICCS0101	F	P_HTHAB	Croatia	0.67	1.07	0.72		0.59	0.77	0.68	0.73			0.85	0.95	0.81	1.01	1.05	0.75
A	ICCS0101	F	P_HTHAB	Hungary						2.68	3.0	2.64		3.32	0.72	1.82	2.61	3.24	2.62	2.73
A	ICCS0101	F	P_HTHAB	Ireland						0.78										
A	ICCS0101	F	P_HTHAB	Iceland						0.62				0.6	0.0					
A	ICCS0101	F	P_HTHAB	Italy	0.46	0.49	0.55	0.53	0.49	0.93	0.92	0.81	0.86	0.92	0.92	0.91	0.92	0.91	0.93	0.97
A	ICCS0101	F	P_HTHAB	Liechtenstein						0.0	0.0	0.0	0.0							
A	ICCS0101	F	P_HTHAB	Lithuania	4.75	4.62	4.85	5.47	5.12	6.05	6.3	5.78	5.71	5.8	5.89	4.94	4.77	3.78	3.07	3.22
A	ICCS0101	F	P_HTHAB	Luxembourg				1.56	1.52	1.86	1.46	1.78	0.35	1.7						
A	ICCS0101	F	P_HTHAB	Latvia						4.1	4.24	4.56	4.41	3.98	3.64	3.77	3.21	3.24	3.38	3.27
A	ICCS0101	F	P_HTHAB	Montenegro	0.32	0.0	0.0	0.32	0.0	0.0	0.64	0.32	0.32	0.32	0.32	0.0	0.0	0.0	0.96	0.0
A	ICCS0101	F	P_HTHAB	Malta						0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.39
A	ICCS0101	F	P_HTHAB	Norway	0.38	0.46	0.45	0.49	0.36	0.24	0.35	0.43	0.46	0.54	0.65	0.61	0.64	0.64	0.56	0.48
A	ICCS0101	F	P_HTHAB	Poland									1.86	1.91	1.89	1.82	1.8	1.9	1.89	1.95
A	ICCS0101	F	P_HTHAB	Portugal	0.24	24.0	0.24	0.27	0.25	0.22	0.27	0.28	0.29	0.31	0.31	0.28	0.2	0.29	0.24	
A	ICCS0101	F	P_HTHAB	Romania	2.51	2.42	2.35	2.37	2.3	2.39	2.44	2.5	2.43	2.04	1.82	1.73	1.89	2.25	1.88	2.14
A	ICCS0101	F	P_HTHAB	Serbia						1.36	1.42	1.37	1.27	1.16	1.0	1.34	1.41	0.65	1.26	1.61
A	ICCS0101	F	P_HTHAB	Sweden	0.61	0.62	0.53	0.59	0.55	0.61	0.52	0.57	0.63	0.66	0.75	0.81	0.88	1.07	1.17	1.15
A	ICCS0101	F	P_HTHAB	Slovenia									0.38	0.29	0.48	0.58	0.48	0.38	0.38	0.47
A	ICCS0101	F	P_HTHAB	Slovakia							1.19	1.08	1.12	1.01	1.15	1.25	1.18	1.4		1.51
A	ICCS0101	F	P_HTHAB	Turkey		0.13	0.33	0.34	0.46	2.83	2.81	2.87	2.91		2.95	2.94	3.07	3.31	3.59	3.04
A	ICCS0101	F	P_HTHAB	England and Wales	0.66	0.76	0.75	0.74	0.81	0.89	0.88	0.89	0.95	0.95	0.93					
A	ICCS0101	F	P_HTHAB	Scotland	1.08	1.41	1.63	1.98	2.05	2.04	2.04									
A	ICCS0101	F	P_HTHAB	Northern Ireland		0.66	0.65	0.76	0.86	1.18	1.18	1.17	0.74							
A	ICCS0101	F	P_HTHAB	Kosovo		1.11	1.46	2.25							1.65	0.88	1.1			
A	ICCS0101	M	NR	Albania	1087.0	1230.0	1140.0	1094.0	1174.0	1140.0	1060.0	383.0	321.0	426.0	408.0	392.0	411.0	404.0	413.0	395.0
A	ICCS0101	M	NR	Austria	498.0	483.0	489.0	502.0	504.0	476.0	458.0	450.0	482.0	459.0	335.0	346.0	357.0	355.0	345.0	371.0
A	ICCS0101	M	NR	Bosnia and Herzegovina						387.0	382.0	426.0	339.0		145.0	301.0	220.0	327.0	299.0	313.0
A	ICCS0101	M	NR	Belgium	797.0	774.0	812.0	801.0	827.0											
A	ICCS0101	M	NR	Bulgaria	1026.0	997.0	925.0	936.0	944.0	901.0	861.0	772.0	774.0	815.0	793.0	812.0	801.0	713.0	778.0	745.0
A	ICCS0101	M	NR	Switzerland	447.0	459.0	455.0	456.0	462.0	467.0	454.0	498.0	520.0	531.0	528.0	588.0	595.0	562.0	509.0	
A	ICCS0101	M	NR	Cyprus		17.0	18.0	18.0	19.0	16.0									59.0	
A	ICCS0101	M	NR	Czechia				1151.0	1021.0	1062.0	1053.0	770.0	1073.0	1029.0	991.0	929.0	904.0	879.0	917.0	832.0
A	ICCS0101	M	NR	Germany						3546.0	3450.0	3314.0	3187.0	3155.0	3179.0	3151.0	3172.0	3140.0	3100.0	3007.0
A	ICCS0101	M	NR	Denmark	160.0	166.0	177.0	193.0	179.0	189.0	180.0	187.0	182.0	166.0	173.0	173.0	176.0	182.0	156.0	154.0
A	ICCS0101	M	NR	Estonia			495.0	505.0		484.0		407.0	374.0	341.0	314.0	290.0	274.0	266.0	248.0	219.0
A	ICCS0101	M	NR	Greece	712.0	567.0	649.0	680.0	807.0	765.0	814.0	757.0	787.0	810.0	795.0	808.0	773.0	649.0	724.0	591.0
A	ICCS0101	M	NR	Spain	2822.0	3073.0	3108.0	3038.0	3593.0	3657.0	3550.0	3646.0	3603.0	3498.0	3656.0	3277.0	3220.0	3158.0	3231.0	2997.0
A	ICCS0101	M	NR	Finland	522.0	539.0	541.0	548.0	542.0	557.0	548.0	544.0	476.0	457.0	434.0	429.0	432.0	441.0	425.0	275.0
A	ICCS0101	M	NR	France	3301.0	3230.0	3157.0	3153.0	3168.0	3764.0	3580.0	2889.0	4626.0	6631.0	7055.0	7240.0	4313.0	4427.0		4885.0
A	ICCS0101	M	NR	Croatia	426.0	429.0	411.0		381.0	386.0	375.0	323.0			310.0	289.0	273.0	292.0	310.0	300.0
A	ICCS0101	M	NR	Hungary						1332.0	1382.0	1266.0		1530.0	227.0	428.0	629.0	782.0	952.0	1050.0
A	ICCS0101	M	NR	Ireland						393.0										
A	ICCS0101	M	NR	Iceland						18.0				6.0	7.0					
A	ICCS0101	M	NR	Italy	5415.0	5689.0	5851.0	5911.0	6016.0	9342.0	9105.0	8894.0	8797.0	8914.0	8951.0	8939.0	8542.0	8555.0	8512.0	8508.0
A	ICCS0101	M	NR	Liechtenstein						1.0	1.0	0.0	1.0							
A	ICCS0101	M	NR	Lithuania	1696.0	1727.0	1800.0	1907.0	1893.0	1817.0	1785.0	1641.0	1570.0	1514.0	1455.0	1381.0	1293.0	1232.0	1139.0	985.0
A	ICCS0101	M	NR	Luxembourg				37.0	50.0	50.0	57.0	58.0	0.0	47.0						
A	ICCS0101	M	NR	Latvia						676.0	651.0	596.0	581.0	569.0	559.0	505.0	276.0	482.0	499.0	469.0
A	ICCS0101	M	NR	Montenegro	13.0	15.0	16.0	19.0	11.0	15.0	46.0	39.0	45.0	48.0	22.0	30.0	36.0	40.0	33.0	20.0
A	ICCS0101	M	NR	Malta						31.0	32.0	31.0	37.0	46.0	51.0	27.0	29.0	47.0	50.0	53.0
A	ICCS0101	M	NR	Norway	127.0	121.0	122.0	126.0	131.0	125.0	124.0	131.0	128.0	130.0	148.0	148.0	143.0	150.0	145.0	143.0
A	ICCS0101	M	NR	Poland									4012.0	3999.0	4021.0	4052.0	4001.0	3967.0	3976.0	3989.0
A	ICCS0101	M	NR	Portugal	327.0	328.0	327.0	320.0	318.0	318.0	304.0	299.0	283.0	272.0	265.0	234.0	228.0	240.0	226.0	
A	ICCS0101	M	NR	Romania	5533.0	5292.0	5240.0	5375.0	5361.0	6013.0	6015.0	6194.0	5946.0	5332.0	4829.0	4624.0	4764.0	5189.0	4873.0	4843.0
A	ICCS0101	M	NR	Serbia						603.0	722.0	753.0	683.0	700.0	739.0	689.0	704.0	708.0	782.0	820.0
A	ICCS0101	M	NR	Sweden	408.0	422.0	443.0	428.0	437.0	535.0	525.0	542.0	552.0	601.0	615.0	637.0	696.0	759.0	852.0	913.0
A	ICCS0101	M	NR	Slovenia									71.0	83.0	75.0	97.0	96.0	86.0	93.0	106.0
A	ICCS0101	M	NR	Slovakia							464.0	463.0	462.0	349.0	365.0	387.0	409.0	429.0		427.0
A	ICCS0101	M	NR	Turkey		1466.0	2838.0	3358.0	6262.0	24668.0	26296.0	27640.0	29070.0		33186.0	33851.0	36094.0	37738.0	40896.0	33932.0
A	ICCS0101	M	NR	England and Wales	4395.0	4809.0	4587.0	4829.0	4979.0	5015.0	5015.0	5076.0	5225.0	5195.0	5188.0					
A	ICCS0101	M	NR	Scotland	788.0	800.0	775.0	778.0	787.0	807.0	807.0									
A	ICCS0101	M	NR	Northern Ireland		144.0	156.0	160.0	153.0	169.0	209.0	180.0	162.0	153.0	159.0					
A	ICCS0101	M	NR	Kosovo		272.0	442.0	392.0	402.0	422.0	356.0	407.0		375.0	347.0	343.0	333.0			
A	ICCS0101	M	P_HTHAB	Albania	68.43	77.62		76.94			72.6	26.21	21.97	29.31	28.36	27.42	28.93	28.65	29.78	28.9
A	ICCS0101	M	P_HTHAB	Austria	12.32	11.91	12.03	12.31	12.3	11.54	11.02	10.73	11.28	10.64	7.72	7.94	8.15	8.07	7.8	8.27
A	ICCS0101	M	P_HTHAB	Belgium	15.26	14.69	15.29	14.83	15.17											
A	ICCS0101	M	P_HTHAB	Bulgaria	28.03	27.42	25.6	26.08	26.47	25.42	24.43	22.04	22.26	23.62	23.17	23.91	23.77	21.29	23.5	24.04
A	ICCS0101	M	P_HTHAB	Switzerland	11.99	12.12	11.88	11.76	11.78	11.77	11.29	12.22	12.62	12.72	12.55	13.88	13.94	13.06	11.73	
A	ICCS0101	M	P_HTHAB	Cyprus		4.36	4.5	4.4	4.53	3.8									13.38	
