freq	leg_stat	age	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	ADULT	NR	Albania	7602.0	7259.0	7854.0	9071.0	8679.0	7897.0	12845.0	15540.0	14052.0	10628.0	11318.0	10772.0	9695.0	12391.0	11203.0	8670.0
A	PER_CNV	ADULT	NR	Austria	35238.0	34713.0	35331.0	33714.0	32979.0	32176.0	30894.0	29969.0	28462.0	28745.0	26034.0	25650.0	22222.0	22427.0	23067.0	23645.0
A	PER_CNV	ADULT	NR	Bosnia and Herzegovina	16236.0	17062.0	16631.0	15429.0	17501.0	18333.0	17904.0	17180.0	16299.0	14790.0	14258.0	13434.0	10521.0	11184.0	10604.0	10514.0
A	PER_CNV	ADULT	NR	Belgium			138790.0	140220.0	160706.0	138276.0	114020.0	127952.0		230637.0	222101.0	196620.0	154749.0			
A	PER_CNV	ADULT	NR	Bulgaria	33173.0	37749.0	36376.0	38267.0	35684.0	32233.0	30216.0	26544.0	27193.0	24648.0	22974.0	22366.0	21015.0	23158.0	23135.0	22289.0
A	PER_CNV	ADULT	NR	Switzerland	86881.0	89088.0	92827.0	89956.0	97933.0	100241.0	102272.0	102365.0	101873.0	98861.0	99682.0	89262.0	89262.0	90272.0	95122.0	97126.0
A	PER_CNV	ADULT	NR	Cyprus	62971.0	61631.0	74899.0	86143.0	70970.0	60371.0	68433.0	53791.0	45049.0	43126.0	39235.0	39663.0	35206.0	33300.0	36719.0	
A	PER_CNV	ADULT	NR	Czechia	72967.0	71059.0	68262.0	67957.0	69285.0	75993.0	71232.0	64166.0	60096.0	54474.0	53170.0	54273.0	47448.0	48515.0	49198.0	50240.0
A	PER_CNV	ADULT	NR	Germany	812475.0	783620.0	757878.0	756490.0	728917.0	716420.0	713970.0	708146.0	708253.0	687565.0	683333.0	700569.0	674537.0	640637.0	626886.0	634915.0
A	PER_CNV	ADULT	NR	Denmark	151360.0	160948.0	171001.0	184777.0	195390.0	194337.0	195651.0	189538.0	184704.0	173369.0	177888.0	47835.0	52099.0	49145.0	49019.0	53143.0
A	PER_CNV	ADULT	NR	Greece														5426.0	4764.0	4294.0
A	PER_CNV	ADULT	NR	Spain	224640.0	237613.0	228613.0	238314.0	237294.0	230306.0	218827.0	222862.0	271526.0	285336.0	286637.0	286931.0	221437.0	282210.0	308624.0	280322.0
A	PER_CNV	ADULT	NR	Finland	226313.0	194087.0	193858.0	191021.0	180889.0	173683.0	164611.0	172962.0	148635.0	78952.0	79761.0	79793.0	77451.0	77207.0	73995.0	74382.0
