freq	leg_stat	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	FOR	NR	Austria	10991.0	11309.0	12062.0	11625.0	11795.0	12107.0	12210.0	12857.0	12520.0	13001.0	12033.0	11665.0	9665.0	9795.0	10414.0	11279.0
A	PER_CNV	FOR	NR	Bosnia and Herzegovina				39.0	43.0	41.0										
A	PER_CNV	FOR	NR	Belgium			21553.0	23541.0	28623.0	28530.0	24628.0	28355.0		53018.0	51534.0	45414.0	35396.0			
A	PER_CNV	FOR	NR	Bulgaria	903.0	1024.0	2286.0	1579.0	1931.0	3464.0	4851.0	3271.0	2281.0	1465.0	1211.0	1177.0	1011.0	1866.0	2515.0	2306.0
A	PER_CNV	FOR	NR	Switzerland	48519.0	50817.0	53598.0	53143.0	58875.0	60829.0	61374.0	61178.0	61496.0	59938.0	60499.0	53502.0	53502.0	54590.0	58135.0	61297.0
A	PER_CNV	FOR	NR	Czechia	5498.0	5328.0	4853.0	4853.0	4913.0	4920.0	4777.0	4877.0	5168.0	5128.0	5312.0	5843.0	4721.0	5001.0	5488.0	6396.0
A	PER_CNV	FOR	NR	Germany	173642.0	169315.0	169667.0	177575.0	176942.0	185042.0	194673.0	209603.0	231562.0	233065.0	242311.0	255885.0	247657.0	238665.0	238653.0	255669.0
A	PER_CNV	FOR	NR	Denmark							36347.0	29598.0	30119.0	29661.0	33005.0	11500.0	11104.0	10838.0	11527.0	12958.0
A	PER_CNV	FOR	NR	Greece														2179.0	1644.0	1393.0
A	PER_CNV	FOR	NR	Spain		0.0					55356.0	54897.0	65550.0	67424.0	70444.0	74506.0	57836.0	72755.0	81231.0	80426.0
A	PER_CNV	FOR	NR	Finland	19536.0	18243.0	21301.0	22280.0	21133.0	20263.0	19615.0	21402.0	19004.0	10644.0	10541.0	10643.0	9165.0	8537.0	8947.0	9534.0
A	PER_CNV	FOR	NR	France	80518.0	79846.0	144974.0	128149.0	118772.0	113214.0	90809.0	87996.0	69815.0	70495.0	83780.0	85963.0	72158.0	85716.0	87493.0	89553.0
A	PER_CNV	FOR	NR	Croatia				1310.0	739.0	667.0	542.0	436.0	427.0	491.0	521.0	773.0	669.0	761.0	891.0	895.0
