freq	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	F	NR	Albania	569.0	527.0	565.0	511.0	373.0	338.0	401.0	881.0	976.0	1033.0	841.0	735.0	525.0	702.0	570.0	461.0
A	PER_CNV	F	NR	Austria	5406.0	5337.0	5561.0	5426.0	5195.0	5158.0	4947.0	4555.0	4340.0	4368.0	4114.0	4103.0	3620.0	3631.0	3707.0	3926.0
A	PER_CNV	F	NR	Bosnia and Herzegovina				1234.0	1182.0	1698.0	1746.0	1510.0	1274.0	1173.0	1129.0	1166.0	822.0	919.0	925.0	908.0
A	PER_CNV	F	NR	Belgium			19388.0	20364.0	27928.0	21541.0	17976.0	26655.0		46607.0	45365.0	38358.0	27726.0			
A	PER_CNV	F	NR	Bulgaria	2133.0	2467.0	2589.0	2960.0	2842.0	2739.0	2599.0	2341.0	2523.0	2138.0	2022.0	1893.0	2005.0	2014.0	2074.0	1870.0
A	PER_CNV	F	NR	Switzerland	16435.0	16747.0	17785.0	16383.0	17662.0	17187.0	16979.0	18497.0	18613.0	18084.0	18667.0	17081.0	17081.0	17525.0	18911.0	18777.0
A	PER_CNV	F	NR	Cyprus	11202.0	10704.0	12587.0	16516.0	13246.0	11840.0	13757.0	10824.0	8636.0	8725.0	9571.0	8290.0	7662.0	7848.0	8403.0	
A	PER_CNV	F	NR	Czechia	9502.0	9415.0	9186.0	9202.0	9425.0	10957.0	9008.0	9882.0	10121.0	9500.0	9284.0	9619.0	8083.0	7887.0	8169.0	8452.0
A	PER_CNV	F	NR	Germany	158618.0	155970.0	153247.0	154543.0	148325.0	146411.0	147003.0	146233.0	142921.0	136330.0	133917.0	136438.0	129169.0	119409.0	118551.0	120735.0
A	PER_CNV	F	NR	Denmark	31618.0	33946.0	36590.0	38255.0	38439.0	40415.0	41134.0	40744.0	39585.0	36546.0	35982.0	9281.0	10352.0	9593.0	10080.0	11475.0
A	PER_CNV	F	NR	Greece														280.0	308.0	235.0
A	PER_CNV	F	NR	Spain							30120.0	34826.0	54828.0	62407.0	62337.0	62161.0	45337.0	57000.0	61554.0	57030.0
A	PER_CNV	F	NR	Finland	43706.0	39385.0	40889.0	39550.0	37874.0	36851.0	36115.0	37849.0	31775.0	13536.0	13545.0	13986.0	13436.0	13947.0	13572.0	14297.0
A	PER_CNV	F	NR	France	68350.0	67919.0	66886.0	66426.0	70080.0	70057.0	58267.0	67457.0	52051.0	51666.0	55320.0	55268.0	44185.0	50829.0	49144.0	52030.0
A	PER_CNV	F	NR	Croatia	2583.0	2587.0	2445.0	2459.0	2025.0	1752.0	1858.0	1481.0	1756.0	1604.0	1581.0	1728.0	1583.0	1780.0	1647.0	1494.0
