freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS0101	AT		88 	78 	99 	66 	77 	60 	82 	70 	65 	50 	59.0	54.0	60.0	45 
A	NR	ICCS0101	BE								216 	282 	320 	229 	267.0	221.0	223.0	211 
A	NR	ICCS0101	BG			461 	404 	369 	381 	327 	332 	308 	255 	247 	240.0	196.0	183.0	169 
A	NR	ICCS0101	CH		80 	82 	83 	87 	76 	89 	69 	86 	86 	73 	79.0	75.0	60.0	51 
A	NR	ICCS0101	CY	9 	8 	10 	10 	7 	7 	10 	8 	7 	3 	15 	15.0	15.0	12.0	11 
A	NR	ICCS0101	CZ		207 		181 	186 	183 	175 	179 	157 	147 	161 	134.0	108.0	130.0	126 
A	NR	ICCS0101	DE	1250 	1343 	1406 	1382 	1265 	998 	1020 	1015 	925 	955 	859 	868.0	869.0	808.0	757 
A	NR	ICCS0101	DK	78 	89 	70 	82 	123 	60 	68 	79 	62 	58 	82 	60.0	70.0	45.0	76 
A	NR	ICCS0101	EE		302 	246 	214 	178 	196 	157 	143 	137 	142 	147 	91.0	113.0	91.0	93 
A	NR	ICCS0101	EL	150 	133 	151 	169 	203 	176 	155 	146 	132 	94 	116 	111.0	132.0	110.0	128 
A	NR	ICCS0101	ES		429 	411 	397 	463 	522 	486 	553 	577 	564 	587 	520.0	518.0	476.0	482 
A	NR	ICCS0101	FI	130 	147 	146 	156 	139 	113 	143 	148 	156 	132 	103 	144.0	113.0	112.0	128 
A	NR	ICCS0101	FR		1406 	1336 	1171 	963 	961 	953 	1051 	1046 	1119 	987 	990.0	976.0	879.0	826 
A	NR	ICCS0101	FX		1406 	1336 	1171 	963 	961 	953 	1051 	1046 	1119 	987 	990.0	976.0	879.0	826 
A	NR	ICCS0101	HR	243 	161 	188 	133 	137 	131 	121 	111 	86 	88 	76 	89.0	76.0	75.0	66 
A	NR	ICCS0101	HU	298 	313 	296 	271 	289 	289 	253 	205 	254 	203 	228 	209.0	164.0	175.0	137 
A	NR	ICCS0101	IE		32 	53 	46 	53 	51 	47 	56 	58 	59 	52 	45.0	65.0	70.0	85 
A	NR	ICCS0101	IS		0 	0 	1 	2 	0 	2 	5 	1 	4 	0 	3.0	3.0	0.0	2 
A	NR	ICCS0101	IT	1120 	1008 	1042 	1001 	924 	918 	854 	818 	765 	691 	765 	767.0	648.0	663.0	685 
A	NR	ICCS0101	LI		0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1.0	0.0	0.0	0 
A	NR	ICCS0101	LT	498 	560 	485 	389 	370 	343 	334 	408 	377 	316 	385 	356.0	404.0	302.0	284 
A	NR	ICCS0101	LU		6 	2 	4 	4 	4 	6 	4 	6 	4 	3 	2.0	4.0	9.0	7 
A	NR	ICCS0101	LV			281 	256 	259 	238 	214 	219 	214 	207 	220 	199.0	127.0	148.0	117 
A	NR	ICCS0101	ME										27 	20 	14.0	22.0	25.0	10 
A	NR	ICCS0101	MK								51 	55 	60 	70 	49.0	49.0	45.0	42 
A	NR	ICCS0101	MT						5 	10 	4 	5 	5 	0 	7.0	4.0	0.0	4 
A	NR	ICCS0101	NL		276 	299 	211 	208 	176 	203 	180 	202 	195 	202 	191.0	174.0	128.0	143 
A	NR	ICCS0101	NO	38 	33 	42 	43 	38 	38 	33 	48 	37 	46 	51 	36.0	33.0	33.0	30 
A	NR	ICCS0101	PL	898 	915 	854 	873 	807 	759 	741 	855 	776 	716 	663 	633.0	555.0	490.0	525 
A	NR	ICCS0101	PT		143 	109 	106 	114 	125 	109 	116 	105 	119 	149 	144.0	135.0	155.0	185 
A	NR	ICCS0101	RO	722 	749 	758 	722 	693 	559 	566 	581 	597 	563 	551 	516.0	453.0	438.0	416 
A	NR	ICCS0101	RS								228 	243 	200 	176 	164.0	157.0	160.0	182 
A	NR	ICCS0101	SE	102 	98 	83 	97 	91 	93 	99 	89 	84 	101 	81 	102.0	83.0	91.0	111 
A	NR	ICCS0101	SI			45 	38 	36 	15 	25 	36 	15 	29 	21 	29.0	20.0	12.0	24 
A	NR	ICCS0101	SK		129 	128 	132 	140 	128 	141 	143 	129 	128 	146 	122.0	106.0	89.0	89 
A	NR	ICCS0101	TR	4043 	3999 	5684 	5955 	5516 	5451 	5068 	6663 	5527 	5394 	5062 	4829.0	4879.0	4663.0	3090 
A	NR	ICCS0101	UKC-L	670 	727 	753 	679 	739 	750 	766 	850 	891 	1047 	904 	868.0	764.0	758.0	775 
A	NR	ICCS0101	UKM	116 	111 	133 	134 	90 	96 	120 	104 	111 	128 	109 	139.0	102.0	123.0	111 
A	NR	ICCS0101	UKN		86 	24 	39 	42 	75 	34 	48 	52 	45 	33 	41.0	29.0	24.0	30 
A	NR	ICCS02-04	AT							36211 	39111 	34383 	36998 	40008 	41044.0	42928.0	43316.0	46217 
