freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	F	NR	AL						4 	3 	5 	3 	2 	1 	0 	2 	0 	3 	1 
A	ICCS0101	PER_CNV	F	NR	AT	6 	3 	3 	3 	4 	5 	4 	4 	4 	2 	2 	2 	4 	6 	1 	2 
A	ICCS0101	PER_CNV	F	NR	BA				6 	6 	24 	14 	11 	8 	14 	5 	2 	7 	4 	7 	8 
A	ICCS0101	PER_CNV	F	NR	BE			24 	33 	21 	22 	20 	12 	11 	14 	8 	13 	7 			
A	ICCS0101	PER_CNV	F	NR	BG	9 	9 	13 	7 	10 	11 	8 	5 	5 	2 	10 	2 	2 	6 	3 	2 
A	ICCS0101	PER_CNV	F	NR	CH	5 	7 	7 	7 	5 	4 	1 	5 	5 	4 	5 	3 	1 	4 	4 	1 
A	ICCS0101	PER_CNV	F	NR	CY	1 	0 	2 	0 	1 	0 	0 	0 	0 	3 	0 	0 	1 	1 	0 	
A	ICCS0101	PER_CNV	F	NR	CZ	15 	11 	19 	23 	13 	18 	21 	14 	17 	13 	16 	12 	20 	17 	11 	22 
A	ICCS0101	PER_CNV	F	NR	DE		48 	38 	39 	29 	29 	33 	36 	31 	40 	35 	29 	34 	28 	40 	38 
A	ICCS0101	PER_CNV	F	NR	DK	1 	1 	6 	2 	3 	4 	6 	3 	4 	3 	4 	1 	3 	3 	4 	5 
A	ICCS0101	PER_CNV	F	NR	EE			3 	2 	3 	8 	4 	4 	2 	7 	2 	1 	1 	1 	6 	
A	ICCS0101	PER_CNV	F	NR	EL														18 	18 	6 
A	ICCS0101	PER_CNV	F	NR	ES					9 	11 	20 	29 	27 	23 	14 	19 	25 	28 	28 	17 
A	ICCS0101	PER_CNV	F	NR	FI	7 	14 	7 	13 	7 	14 	7 	8 	4 	4 	6 	8 	9 	8 	6 	4 
A	ICCS0101	PER_CNV	F	NR	FR	80 	68 	80 	57 	34 	31 	35 	36 	44 	38 	37 	32 	30 	31 	47 	32 
A	ICCS0101	PER_CNV	F	NR	HR	1 	4 	3 	5 	6 	8 	2 	1 	9 	9 	2 	7 	7 	7 	3 	8 
A	ICCS0101	PER_CNV	F	NR	HU	27 	27 	18 	19 	12 	20 	31 	10 	20 	24 	12 	14 	10 	6 	11 	6 
A	ICCS0101	PER_CNV	F	NR	IS						0 		1 	0 				0 	0 	0 	0 
