freq	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NR	AL001C	22 	21 	25 	26 	25 	31 	23 	12 	18 	10 	10 	12 	9 	10 	8 	9 
A	NR	AT001C	17 	20 	18 	25 	25 	24 	11 	9 	17 	14 	34 	24 	11 	14 	18 	20 
A	NR	BA001C1	10 		6 	9 	13 	8 	8 	12 		8 	5 	11 				
A	NR	BE001C	44 	33 	31 	27 	35 	35 	37 	11 	11 	10 	14 	10 	13 	6 	20 	
A	NR	BG001C	27 	26 	20 	20 	24 	18 	25 	16 	11 	12 	11 	10 	10 	14 	10 	16 
A	NR	CH001C														3 	4 	4 
A	NR	CH002C		4 	10 	1 	2 	0 	2 	2 	4 	2 	2 	8 	1 			
A	NR	CY001C	3 	3 	4 	2 	5 	4 	2 	4 	2 	4 	4 	14 				
A	NR	CZ001C	18 	23 	16 	13 	16 	12 	10 	10 	10 	12 	11 	14 	10 	7 	16 	8 
A	NR	DE001C	42 	67 	41 	43 	50 	53 	47 	22 	39 	34 	36 	44 	49 	48 	46 	45 
A	NR	DK001C			5 	11 	9 	0 	7 	9 	6 	15 	7 	9 	5 	3 	11 	7 
A	NR	EE001C					20 	17 	13 	11 	10 	17 	6 	10 	12 	8 	8 	5 
A	NR	EL001C	69 	70 	82 	86 	66 	54 	40 	28 	40 	42 	45 	35 	31 	34 	28 	33 
A	NR	ES001C	39 	32 	28 	21 	28 	28 	22 	18 	19 	16 	20 	16 	16 	18 	26 	20 
A	NR	FI001C	16 	7 	12 	14 	12 	6 	10 	12 	8 	6 	10 	9 	7 	8 	15 	8 
A	NR	FR001C	47 	36 	44 	42 	46 	42 	43 	181 	35 	30 	31 	34 	16 	18 	30 	23 
A	NR	HR001C	15 	5 	10 	11 	10 	6 	5 	3 	10 	10 	9 	6 	8 	9 	6 	5 
A	NR	HU001C	26 	36 	32 	32 	25 	28 	28 	19 	22 	14 	18 	13 	16 	12 	20 	16 
A	NR	IS001C	0 	1 	1 	3 	1 	0 	1 	1 		3 	0 	1 	1 	2 	1 	2 
A	NR	IT001C	28 	29 	9 	27 	24 	27 	35 	21 	17 	16 	13 	13 	11 	16 	13 	20 
A	NR	LI002C1	0 	0 	0 	0 	0 	0 	1 	0 				1 				
A	NR	LT001C	58 	30 	26 	22 	19 	25 	41 	33 	18 	11 	11 	16 	16 	12 	11 	9 
A	NR	LU001C	3 	5 	0 	3 	0 	0 	1 	1 								
A	NR	LV001C	30 	37 	23 	18 	26 	26 	26 	30 	49 	40 	33 	30 	31 	35 	27 	31 
A	NR	ME001C	7 	8 	7 	7 	7 	1 	5 	2 		3 	7 	5 	4 	5 	2 	2 
A	NR	MK001C	13 	12 	12 	11 	8 	8 	8 									
A	NR	MT001C			1 	0 	3 	2 	3 	2 	3 	8 	5 	2 	4 	1 	5 	2 
A	NR	NL001C	11 	24 	10 	12 	17 	16 	17 	12 	19 	11 	9 	15 	7 	15 	10 	10 
A	NR	NO001C	12 	7 	5 	19 	8 	8 	7 	12 	4 	6 	7 	3 	2 	7 	4 	6 
A	NR	PL001C	25 	33 	22 	29 	25 	16 	16 	9 	9 	11 	10 	10 	14 	13 	12 	16 
A	NR	PT001C	10 	5 	6 	6 	11 	11 	7 	11 		11 						
A	NR	RO001C	17 	20 	22 	17 	21 	13 	21 	17 	18 	15 	27 	30 	23 	20 	4 	12 
A	NR	RS001C	35 	23 	20 	30 	19 	36 	43 	30 		15 	35 	18 	23 	19 	23 	20 
A	NR	SI001C	0 	1 	3 	4 	2 	0 	4 	9 	1 	5 	0 	2 	0 	0 	1 	2 
A	NR	SK001C	10 	9 	8 	14 	12 	10 	17 	15 	9 	15 	18 	17 	6 	12 	9 	5 
A	NR	TR012C		348 	242 	215 	262 											
A	NR	XK001C	7 	8 	6 	6 	1 	3 	8 	5 	11 	4 	11 	11 	8 	9 		
A	P_HTHAB	AL001C	5.26 	2.62 	3.12 	3.40 	5.97 	7.41 										
A	P_HTHAB	AT001C	1.02 	1.19 				1.38 	0.62 									
A	P_HTHAB	BA001C1	0.26 		0.16 	0.23 	0.34 	1.60 										
A	P_HTHAB	BE001C	4.12 	3.09 	2.85 	2.38 	3.02 	2.98 	3.13 	0.92 	0.92 	0.84 	1.15 	0.82 	1.06 	0.49 	1.63 	
A	P_HTHAB	BG001C	2.17 	2.23 	1.72 	1.66 	1.99 	1.48 	2.05 	1.30 	0.89 	0.97 	0.90 	0.81 		1.13 	0.82 	1.31 
A	P_HTHAB	CH001C														1.31 	1.74 	1.74 
A	P_HTHAB	CH002C		1.05 	2.61 	0.27 	0.53 	0.00 	0.52 	0.51 	1.01 		0.51 	2.02 	0.44 			
A	P_HTHAB	CY001C	1.31 	1.28 				1.62 	0.82 	1.66 	0.83 	1.66 	1.66 	5.80 				
A	P_HTHAB	CZ001C	1.47 	1.84 	1.27 	1.05 	1.28 	0.97 	0.79 	0.79 		0.93 	0.87 	1.09 		0.53 	1.27 	0.63 
A	P_HTHAB	DE001C	1.23 	1.95 	1.19 	1.24 	1.50 	1.57 	1.37 	0.63 	1.12 	0.98 	1.04 	1.25 	1.33 	1.32 	1.26 	1.22 
A	P_HTHAB	DK001C				2.04 	1.64 	0.00 										
A	P_HTHAB	EE001C					4.95 	4.19 	3.16 	2.66 	2.36 	3.99 	1.45 	2.36 	2.73 	1.84 	1.83 	1.14 
A	P_HTHAB	EL001C	1.98 	8.75 		12.95 												
A	P_HTHAB	ES001C	1.21 	0.98 	0.86 	0.66 	0.87 	0.87 	0.70 	0.57 	0.60 	0.50 	0.64 	0.51 	0.32 	0.36 	0.51 	0.40 
A	P_HTHAB	FI001C	2.77 	1.21 	2.04 	2.35 	1.99 	0.98 	1.61 	1.93 	1.26 	0.94 	1.59 	1.39 	1.08 	1.23 	2.28 	1.21 
A	P_HTHAB	FR001C	2.14 	1.61 	1.96 	1.87 	2.05 	1.88 	1.94 	1.85 	0.36 	0.31 	0.30 	0.33 	0.16 	0.18 		
A	P_HTHAB	HR001C	1.90 	0.63 	1.26 	1.38 	1.27 	0.76 	0.63 	0.38 	1.25 		1.12 	0.75 	0.99 	1.12 	0.74 	0.65 
A	P_HTHAB	HU001C	1.52 	2.10 	1.86 	1.85 	1.45 	1.61 	1.60 	1.08 	1.25 	0.80 	1.02 	0.74 	0.91 	0.68 	1.16 	0.94 
A	P_HTHAB	IS001C	0.00 	0.84 	0.85 	2.52 	0.84 	0.00 										
A	P_HTHAB	IT001C	1.09 	1.06 	0.33 	0.98 	0.91 	1.02 	1.22 	0.73 	0.59 	0.56 	0.45 	0.45 	0.39 	0.57 	0.47 	0.73 
A	P_HTHAB	LI002C1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	16.77 									
A	P_HTHAB	LT001C	10.41 	5.37 	4.79 	4.10 	3.56 	4.65 	7.60 	6.08 	3.31 		2.03 	2.94 	2.84 	2.17 	1.98 	1.60 
A	P_HTHAB	LU001C	3.15 	5.57 	0.00 	3.16 	0.00 	0.00 	0.93 	0.90 								
A	P_HTHAB	LV001C	4.19 	5.19 	3.42 	2.73 	4.00 	4.04 	4.04 	4.68 	7.66 	6.26 	5.15 	4.69 	4.99 	5.59 	4.39 	5.12 
A	P_HTHAB	ME001C	3.64 	4.52 	3.86 	3.76 	3.73 	0.53 	2.60 									
A	P_HTHAB	MK001C	2.46 	2.26 	2.25 	2.06 	0.39 	1.30 										
A	P_HTHAB	MT001C			0.37 	0.00 	1.10 	0.73 	1.08 	0.70 	1.03 	2.71 	1.64 	0.64 	1.54 	0.39 	1.93 	0.77 
A	P_HTHAB	NL001C	1.47 	3.18 	1.30 	1.54 	2.15 	2.00 	2.10 				0.90 	1.50 	0.70 	1.49 	0.98 	0.98 
A	P_HTHAB	NO001C	2.14 	1.22 	0.85 	3.17 	1.30 	1.28 										0.86 
A	P_HTHAB	PL001C	1.46 	1.92 		1.70 	1.46 	0.93 	0.92 								0.64 	
A	P_HTHAB	PT001C	0.49 	1.04 	1.09 	1.09 	2.05 	2.10 	1.37 	2.16 		2.18 						
A	P_HTHAB	RO001C	0.87 	1.03 	1.02 	0.79 	0.98 	0.61 	0.99 	0.81 		0.71 	1.28 					
A	P_HTHAB	RS001C	2.16 	1.41 	1.22 	1.81 	1.14 	2.16 	2.57 									
A	P_HTHAB	SI001C	0.00 	0.36 	1.07 	1.43 	0.71 	0.00 	1.40 	3.13 	0.35 	1.73 	0.00 	0.68 	0.00 	0.00 	0.34 	0.68 
A	P_HTHAB	SK001C	2.33 	2.09 	1.85 	3.40 	2.89 	2.17 	3.99 	3.52 	2.11 	3.52 	4.26 	4.02 	1.37 	2.52 	1.89 	1.05 
