freq	leg_stat	sex	unit	geo	2022 	2023 
A	ADM	CRT_BGHT	NR	AT	50122 	50610 
A	ADM	CRT_BGHT	NR	BE	19736 	24485 
A	ADM	CRT_BGHT	NR	BG	28217 	29222 
A	ADM	CRT_BGHT	NR	CY	11561 	10381 
A	ADM	CRT_BGHT	NR	CZ	7702 	7982 
A	ADM	CRT_BGHT	NR	DE	492802 	501171 
A	ADM	CRT_BGHT	NR	DK		
A	ADM	CRT_BGHT	NR	EE	2770 	3081 
A	ADM	CRT_BGHT	NR	EL	52463 	51130 
A	ADM	CRT_BGHT	NR	ES	183873 	175295 
A	ADM	CRT_BGHT	NR	FI	21203 	21317 
A	ADM	CRT_BGHT	NR	FR	241187 	257329 
A	ADM	CRT_BGHT	NR	HR	12724 	15998 
A	ADM	CRT_BGHT	NR	HU	19551 	19431 
A	ADM	CRT_BGHT	NR	IT	51576 	50324 
A	ADM	CRT_BGHT	NR	LT	23365 	21425 
A	ADM	CRT_BGHT	NR	LU	1151 	1206 
A	ADM	CRT_BGHT	NR	LV	1874 	1566 
A	ADM	CRT_BGHT	NR	MT	141 	149 
A	ADM	CRT_BGHT	NR	NL	92752 	123615 
A	ADM	CRT_BGHT	NR	PL	77737 	70158 
A	ADM	CRT_BGHT	NR	PT	24212 	25607 
A	ADM	CRT_BGHT	NR	RO	83439 	80026 
A	ADM	CRT_BGHT	NR	SE	152422 	159552 
A	ADM	CRT_BGHT	NR	SI	2718 	2648 
A	ADM	CRT_BGHT	NR	SK	5148 	4613 
A	ADM	CRT_BGHT	P_HTHAB	AT	558.22 	555.86 
A	ADM	CRT_BGHT	P_HTHAB	BE	169.88 	208.51 
A	ADM	CRT_BGHT	P_HTHAB	BG	412.59 	453.22 
A	ADM	CRT_BGHT	P_HTHAB	CY	1277.88 	1093.79 
A	ADM	CRT_BGHT	P_HTHAB	CZ	73.24 	73.72 
A	ADM	CRT_BGHT	P_HTHAB	DE	592.05 	602.96 
A	ADM	CRT_BGHT	P_HTHAB	DK		
A	ADM	CRT_BGHT	P_HTHAB	EE	207.99 	225.57 
A	ADM	CRT_BGHT	P_HTHAB	EL	501.57 	490.97 
A	ADM	CRT_BGHT	P_HTHAB	ES	387.65 	364.55 
A	ADM	CRT_BGHT	P_HTHAB	FI	382.16 	383.13 
A	ADM	CRT_BGHT	P_HTHAB	FR	355.36 	376.89 
A	ADM	CRT_BGHT	P_HTHAB	HR	329.44 	415.44 
A	ADM	CRT_BGHT	P_HTHAB	HU	201.79 	202.41 
A	ADM	CRT_BGHT	P_HTHAB	IT	87.37 	85.30 
A	ADM	CRT_BGHT	P_HTHAB	LT	832.68 	749.84 
A	ADM	CRT_BGHT	P_HTHAB	LU	178.34 	182.50 
A	ADM	CRT_BGHT	P_HTHAB	LV	99.91 	83.16 
