freq	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	CRT_ACQT	NR	AL		431 	400 	474 	370 	397 	375 	525 	1090 	528 	404 	372 	331 	420 	392 	309 
A	CRT_ACQT	NR	AT		11209 	10875 	10797 		10727 	10727 	10677 					7967 	8901 	8556 	9077 
A	CRT_ACQT	NR	BA	800 	770 	775 	722 	1010 	1057 	1278 	1103 	1110 	1144 	1189 	1172 	861 	851 	1044 	990 
A	CRT_ACQT	NR	BG	1094 	1097 	1606 	1282 	1463 	1128 	965 	820 	767 	740 	718 	585 	650 	616 	553 	573 
A	CRT_ACQT	NR	CY	1129 	1007 	1252 	1303 	1490 	1233 	875 	1959 	2236 	1552 	1595 					
A	CRT_ACQT	NR	CZ		5144 	5623 	5631 	5601 	4812 	4677 	4312 	3594 	3256 	3044 	2739 	2299 	2058 	1818 	1679 
A	CRT_ACQT	NR	DE	31874 	32738 	32048 	30798 	29440 	29209 	28652 	26950 	24871 	24273 	23741 	24875 	22268 	21562 	20439 	20834 
A	CRT_ACQT	NR	DK	13995 	14798 	16570 	16717 	16481 	15563 	15224 	14734 	14380 	15457 	15310 	17920 	19549 	19682 	19275 	19856 
A	CRT_ACQT	NR	EE		193 				161 	87 	81 	88 	31 	39 	64 	97 	112 	86 	73 
A	CRT_ACQT	NR	EL															78 	70 
A	CRT_ACQT	NR	ES	41267 	44789 	47276 	48415 	48896 	46779 	45906 	45957 	45176 	44398 	42068 	40389 	27170 	35920 	35317 	30119 
A	CRT_ACQT	NR	FI	3404 	3165 	3007 	3146 	3209 	3222 	3052 	2874 	2762 	2797 	2905 	2819 	2431 	3010 	3019 	3294 
A	CRT_ACQT	NR	FR	26735 	27086 	32095 	37316 	26019 	26474 	25300 	24680 	36820 	26067 	24946 	27519 	20696 	28689 	27903 	28766 
A	CRT_ACQT	NR	HR	8779 	8659 	8773 	8089 	6226 	5872 	3263 	2718 	2534 	2422 	2289 	2266 	2011 	2218 	2305 	1879 
A	CRT_ACQT	NR	HU	7942 	6817 	7236 	6743 	9696 	6061 	5635 	2605 	2389 	2034 	1820 	1622 	871 	1080 	1017 	824 
A	CRT_ACQT	NR	IE		170 	191 	527 	125 	440 	610 	506 								
A	CRT_ACQT	NR	LT	302 	304 	390 	488 	602 	759 	771 	723 	541 	376 	457 	338 	253 	232 	313 	254 
A	CRT_ACQT	NR	LV	99 	128 	120 	138 	123 	79 	79 	98 	88 	97 	82 	59 	63 	58 	53 	49 
A	CRT_ACQT	NR	ME			75 	116 	183 	435 	291 	283 	369 	197 	207 	172 	131 	122 	137 	142 
A	CRT_ACQT	NR	NL	9456 	9342 	9188 	9317 	9195 	9940 	10401 	11748 	9986 	8938 	7949 	6799 	5035 	6035 	5419 	5304 
A	CRT_ACQT	NR	PL	12493 	11931 	11239 	11110 	11025 	10594 	9785 	9975 	9333 	8987 	8424 	7452 	5704 	8075 	8021 	7533 
A	CRT_ACQT	NR	PT	22817 	21350 	22377 	21914 	21666 	20236 	15355 	17938 	17225 	15198 	12779 	12516 	9608 	12101 	12860 	11328 
A	CRT_ACQT	NR	RO	794 	818 	1182 	1091 	975 	853 	1392 	1172 	800 	995 	1264 	1298 	800 		1243 	1102 
A	CRT_ACQT	NR	RS	11501 	10087 	6744 	9482 	10943 	14115 	13537 	9450 	7558 	6352 	5697 	4574 	4413 	4728 	4611 	4595 
