freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	NR	AL	88 	82 	118 	124 	125 	107 	98 	54 	71 	52 	51 	58 	52 	61 	42 	34 
A	ICCS0101	NR	AT	58 	51 	61 	80 	88 	63 	43 	42 	49 	61 	73 	74 	54 	59 	65 	75 
A	ICCS0101	NR	BA	66 	67 	54 	49 	60 	46 	49 	56 	42 	34 	36 	37 	42 	31 	34 	35 
A	ICCS0101	NR	BE	204 	189 	189 	214 	206 	204 	210 	231 	175 	198 	192 	147 	149 	157 	185 	162 
A	ICCS0101	NR	BG	172 	150 	148 	128 	141 	109 	112 	126 	79 	95 	92 	81 	67 	89 	76 	74 
A	ICCS0101	NR	CH	54 	51 	53 	46 	45 	57 	41 	57 	45 	45 	50 	46 	47 	42 	42 	53 
A	ICCS0101	NR	CY	9 	19 	7 	8 	19 	11 	10 	12 	11 	7 	14 	13 	15 	14 	7 	10 
A	ICCS0101	NR	CZ	113 	105 	105 	83 	95 	90 	81 	88 	65 	40 	55 	81 	57 	46 	79 	68 
A	ICCS0101	NR	DE	656 	721 	699 	689 	619 	623 	645 	655 	747 	738 	632 	586 	719 	631 	614 	661 
A	ICCS0101	NR	DK	53 	56 	49 	49 	43 	41 	62 	52 	53 	61 	54 	54 	51 	42 	59 	53 
A	ICCS0101	NR	EE	84 	70 	70 	65 	63 	52 	41 	50 	33 	29 	25 	23 	37 	19 	18 	18 
A	ICCS0101	NR	EL	139 	143 	176 	184 	165 	141 	105 	86 	81 	78 	94 	76 	73 	89 	79 	76 
A	ICCS0101	NR	ES	407 	412 	401 	385 	364 	302 	323 	302 	294 	307 	289 	331 	298 	290 	325 	333 
A	ICCS0101	NR	FI	160 	138 	133 	134 	107 	107 	112 	116 	96 	74 	95 	83 	95 	94 	83 	64 
A	ICCS0101	NR	FR	975 	804 	797 	874 	814 	802 	765 	880 	779 	710 	696 	753 	692 	734 	821 	887 
A	ICCS0101	NR	HR	71 	49 	62 	49 	51 	46 	36 	37 	44 	46 	24 	33 	40 	33 	31 	26 
A	ICCS0101	NR	HU	147 	139 	133 	142 	113 	138 	129 	202 	91 	85 	83 	58 	77 	67 	85 	69 
A	ICCS0101	NR	IE	51 	53 	55 	42 	52 	51 	53 	30 	34 	39 	39 	32 	32 	22 	44 	34 
A	ICCS0101	NR	IS	0 	1 	2 	3 	1 	1 	2 	3 	1 	3 	2 	1 	3 	2 	4 	5 
A	ICCS0101	NR	IT	615 	590 	529 	552 	530 	506 	487 	471 	404 	376 	359 	317 	285 	303 	322 	338 
A	ICCS0101	NR	LI	1 	0 	1 	0 	0 	0 	1 	0 	0 	1 	1 	0 	1 		0 	0 
A	ICCS0101	NR	LT	286 	240 	199 	189 	181 	172 	155 	168 	142 	113 	97 	84 	99 	70 	62 	69 
A	ICCS0101	NR	LU	7 	5 	8 	4 	3 	2 	4 	5 	5 	2 	3 	4 	2 	3 	9 	4 
A	ICCS0101	NR	LV	99 	108 	70 	69 	97 	69 	77 	81 	111 	109 	101 	91 	93 	98 	76 	79 
A	ICCS0101	NR	ME	22 	10 	13 	19 	15 	9 	19 	17 	24 	11 	13 	21 	16 	14 	7 	5 
A	ICCS0101	NR	MK	35 	35 	39 	27 	28 	20 	25 	21 	17 	25 		22 	10 	13 	18 	23 
A	ICCS0101	NR	MT	6 	4 	4 	3 	10 	6 	6 	4 	5 	9 	6 	4 	6 	2 	8 	2 
A	ICCS0101	NR	NL	150 	154 				147 	144 	120 	108 	158 	119 	125 	121 	126 	143 	125 
A	ICCS0101	NR	NO	34 	29 	29 	111 	27 	47 	29 	24 	27 	28 	25 	28 	31 	29 	30 	40 
A	ICCS0101	NR	PL	460 	493 	436 	449 	377 	296 	282 	287 	256 	278 	265 	205 	261 	265 	258 	294 
A	ICCS0101	NR	PT	124 	130 	124 	114 	122 	144 	92 	100 	66 	76 	81 	73 	81 	82 	75 	74 
A	ICCS0101	NR	RO	470 	397 	404 	335 	378 	336 	298 	291 	247 	256 	267 	255 	256 	191 	177 	139 
A	ICCS0101	NR	RS	128 	136 	114 	114 	104 	132 	114 	96 	106 	79 	104 	80 	76 	73 	70 	78 
A	ICCS0101	NR	SE	82 	93 	91 	81 	68 	87 	87 	112 	106 	113 	108 	111 	124 	113 	116 	121 
A	ICCS0101	NR	SI	11 	13 	11 	17 	14 	12 	17 	20 	10 	19 	9 	14 	11 	9 	13 	13 
A	ICCS0101	NR	SK	94 	84 	89 	96 	75 	78 	72 	48 	60 	80 	67 	76 	63 	55 	42 	62 
A	ICCS0101	NR	TR		2090 	1766 	1688 	1806 					2323 	1974 	1845 	1967 	1973 	2091 	2163 
A	ICCS0101	NR	UKC-L	638 	595 	632 	526 	544 	521 	510 	546 	675 	704 	671 					
A	ICCS0101	NR	UKM	95 	84 	100 	93 	63 	61 	62 	59 	62 	59 	60 					
A	ICCS0101	NR	UKN	24 	29 	23 	23 	21 	20 	17 	24 	18 	24 	23 					
A	ICCS0101	NR	XK	113 	73 	106 	62 	90 	41 	38 	27 	29 	33 	43 	23 	28 	26 		
A	ICCS0101	P_HTHAB	AL	2.78 	2.57 		4.38 			3.38 	1.86 	2.46 	1.81 	1.78 	2.03 	1.83 	2.16 	1.50 	1.23 
A	ICCS0101	P_HTHAB	AT	0.70 	0.61 	0.73 	0.96 	1.05 	0.75 	0.51 	0.49 	0.56 	0.70 	0.83 	0.84 	0.61 	0.66 	0.72 	0.82 
A	ICCS0101	P_HTHAB	BA	1.72 	1.74 	1.40 	1.27 	1.56 											
A	ICCS0101	P_HTHAB	BE	1.91 	1.76 	1.74 	1.95 	1.86 	1.83 	1.88 	2.06 	1.55 	1.74 	1.68 	1.28 	1.29 	1.36 	1.59 	1.38 
A	ICCS0101	P_HTHAB	BG	2.29 	2.01 	1.99 	1.74 	1.92 	1.50 	1.55 	1.75 	1.10 	1.34 	1.30 	1.16 	0.96 	1.29 	1.11 	1.15 
