freq	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	NR	Tirana	22.0	21.0	25.0	26.0	25.0	31.0	23.0	12.0	18.0	10.0	10.0	12.0	9.0	10.0	8.0	9.0	Albania
A	NR	Wien (greater city)	17.0	20.0	18.0	25.0	25.0	24.0	11.0	9.0	17.0	14.0	34.0	24.0	11.0	14.0	18.0	20.0	Austria
A	NR	Sarajevo	10.0		6.0	9.0	13.0	8.0	8.0	12.0		8.0	5.0	11.0					Bosnia and Herzegovina
A	NR	Bruxelles/Brussel (greater city)	44.0	33.0	31.0	27.0	35.0	35.0	37.0	11.0	11.0	10.0	14.0	10.0	13.0	6.0	20.0		Belgium
A	NR	Sofia	27.0	26.0	20.0	20.0	24.0	18.0	25.0	16.0	11.0	12.0	11.0	10.0	10.0	14.0	10.0	16.0	Bulgaria
A	NR	Bern (greater city)														3.0	4.0	4.0	Switzerland
A	NR	Zurich (greater city)		4.0	10.0	1.0	2.0	0.0	2.0	2.0	4.0	2.0	2.0	8.0	1.0				Switzerland
A	NR	Lefkosia (greater city)	3.0	3.0	4.0	2.0	5.0	4.0	2.0	4.0	2.0	4.0	4.0	14.0					Cyprus
A	NR	Praha	18.0	23.0	16.0	13.0	16.0	12.0	10.0	10.0	10.0	12.0	11.0	14.0	10.0	7.0	16.0	8.0	Czechia
A	NR	Berlin	42.0	67.0	41.0	43.0	50.0	53.0	47.0	22.0	39.0	34.0	36.0	44.0	49.0	48.0	46.0	45.0	Germany
A	NR	København (greater city)			5.0	11.0	9.0	0.0	7.0	9.0	6.0	15.0	7.0	9.0	5.0	3.0	11.0	7.0	Denmark
A	NR	Tallinn					20.0	17.0	13.0	11.0	10.0	17.0	6.0	10.0	12.0	8.0	8.0	5.0	Estonia
A	NR	Athina (greater city)	69.0	70.0	82.0	86.0	66.0	54.0	40.0	28.0	40.0	42.0	45.0	35.0	31.0	34.0	28.0	33.0	Greece
A	NR	Madrid (greater city)	39.0	32.0	28.0	21.0	28.0	28.0	22.0	18.0	19.0	16.0	20.0	16.0	16.0	18.0	26.0	20.0	Spain
A	NR	Helsinki/Helsingfors	16.0	7.0	12.0	14.0	12.0	6.0	10.0	12.0	8.0	6.0	10.0	9.0	7.0	8.0	15.0	8.0	Finland
A	NR	Paris (greater city)	47.0	36.0	44.0	42.0	46.0	42.0	43.0	181.0	35.0	30.0	31.0	34.0	16.0	18.0	30.0	23.0	France
A	NR	Zagreb	15.0	5.0	10.0	11.0	10.0	6.0	5.0	3.0	10.0	10.0	9.0	6.0	8.0	9.0	6.0	5.0	Croatia
