freq	sex	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	T	NR	Tirana	18.0	25.0	33.0	28.0	29.0	32.0	23.0	16.0	20.0	9.0	10.0	13.0	12.0	11.0	9.0	10.0	Albania
A	T	NR	Wien (greater city)	48.0	73.0	73.0	58.0	65.0	26.0	11.0	9.0	19.0	14.0	40.0	25.0	14.0	15.0	22.0	21.0	Austria
A	T	NR	Sarajevo			4.0	5.0	13.0	8.0	8.0	12.0			5.0	9.0	11.0				Bosnia and Herzegovina
A	T	NR	Sofia	27.0	26.0	20.0	20.0	25.0	18.0	25.0	21.0	11.0	12.0	11.0	10.0	10.0	14.0	11.0	16.0	Bulgaria
A	T	NR	Bern (greater city)											2.0	8.0	1.0	3.0	4.0	4.0	Switzerland
A	T	NR	Zurich (greater city)		4.0	11.0	1.0	2.0	0.0	2.0	2.0	4.0	2.0	2.0	8.0	1.0				Switzerland
A	T	NR	Lefkosia (greater city)				2.0	5.0	4.0	3.0	4.0	2.0	1.0	3.0	11.0					Cyprus
A	T	NR	Praha	19.0	24.0	17.0	10.0	16.0	15.0	13.0	11.0	9.0	10.0		15.0	10.0	7.0	18.0	21.0	Czechia
A	T	NR	Berlin		200.0	147.0	156.0	52.0	55.0	51.0	42.0	48.0	50.0	152.0	46.0	49.0	54.0	54.0	48.0	Germany
A	T	NR	København (greater city)			4.0	16.0	14.0	1.0	7.0	11.0	5.0	23.0	8.0	8.0	4.0	3.0	9.0	6.0	Denmark
A	T	NR	Athina (greater city)									40.0	42.0	45.0	35.0	31.0	34.0	28.0	33.0	Greece
A	T	NR	Madrid (greater city)			28.0	21.0		22.0	18.0	14.0	19.0	16.0	20.0	16.0	16.0	18.0	26.0	20.0	Spain
A	T	NR	Helsinki/Helsingfors	16.0	7.0	12.0	14.0	12.0	6.0	10.0	12.0	8.0	6.0	10.0	8.0	8.0	8.0	11.0		Finland
A	T	NR	Paris (greater city)								181.0	35.0	30.0	31.0	34.0	16.0	18.0	30.0	23.0	France
A	T	NR	Zagreb			10.0	11.0	10.0	6.0	5.0	3.0	10.0	10.0	5.0	6.0	8.0	9.0	6.0	5.0	Croatia
A	T	NR	Budapest (greater city)	33.0	26.0	32.0	33.0	25.0	29.0	33.0	37.0	22.0	14.0	18.0	13.0	16.0	12.0	20.0	16.0	Hungary
A	T	NR	Reykjavík			1.0	3.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	1.0	1.0	2.0	1.0	2.0	Iceland
A	T	NR	Roma	28.0	29.0	9.0	27.0	24.0	27.0	27.0	21.0	17.0	16.0	13.0	13.0	11.0	16.0	13.0	20.0	Italy
A	T	NR	Vilnius						26.0	45.0	33.0	15.0	12.0	9.0	19.0	16.0	12.0	11.0	9.0	Lithuania
A	T	NR	Luxembourg (greater city)	3.0	5.0	0.0	3.0													Luxembourg
A	T	NR	Rīga					21.0	20.0	23.0	27.0	24.0	16.0	20.0	16.0	18.0	16.0	18.0	14.0	Latvia
A	T	NR	Podgorika				8.0		1.0	5.0	2.0	4.0	4.0	7.0	5.0	11.0	5.0	2.0	2.0	Montenegro
A	T	NR	Skopje	13.0	12.0	14.0	11.0	8.0	8.0	7.0	8.0	5.0	14.0		9.0			7.0	9.0	North Macedonia
A	T	NR	Greater Valletta			1.0	0.0	4.0	2.0	3.0	2.0	3.0	8.0	7.0	3.0	5.0	1.0	5.0	3.0	Malta
