freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	FOR	NR	AL	36 	38 	54 	69 	68 	84 	99 	89 	89 	101 	90 	113 	109 	114 	123 	125 
A	FOR	NR	AT	3349 	3974 	3904 	4055 	4180 	4373 	4449 	4702 	4686 	4831 	5029 	4794 	4298 	4156 	4644 	4800 
A	FOR	NR	BA	: 	: 	24 	67 	: 	54 	46 	57 	49 	32 	51 	78 	174 	100 	120 	55 
A	FOR	NR	BE	4124 	4276 	4430 	4854 	4902 	5271 	: 	4812 	: 	4627 	4555 	4771 	4593 	4706 	4730 	5219 
A	FOR	NR	BG	187 	165 	146 	175 	180 	253 	232 	242 	215 	186 	161 	137 	154 	159 	134 	163 
A	FOR	NR	CH	3581 	3831 	4030 	3911 	4390 	4857 	4673 	4514 	4599 	4615 	4679 	4478 	4340 	4230 	4396 	4734 
A	FOR	NR	CY	377 	321 	374 	356 	404 	306 	239 	214 	237 	151 	276 	372 	260 	417 	531 	544 
A	FOR	NR	CZ	1449 	579 	1600 	1730 	1715 	1523 	1549 	1670 	1807 	1814 	1768 	1794 	1534 	1396 	1459 	1651 
A	FOR	NR	DK	792 	811 	853 	838 	979 	1098 	1002 	865 	954 	968 	1039 	1137 	1171 	1074 	1145 	1107 
A	FOR	NR	EE	165 	1399 	1349 	1302 	1248 	1192 	1226 	1096 	1060 	996 	916 	837 	799 	725 	686 	623 
A	FOR	NR	EL	6176 	6307 	7210 	7887 	7875 	7623 	6882 	5289 	5195 	5291 	5822 	6314 	6799 	6499 	6022 	5562 
A	FOR	NR	ES	26201 	27162 	26315 	24502 	22893 	21116 	19697 	17870 	17130 	16549 	16536 	16470 	15918 	16272 	16758 	17693 
A	FOR	NR	FI	333 	356 	374 	436 	478 	458 	483 	489 	531 	555 	503 	502 	474 	421 	461 	593 
A	FOR	NR	FR	11869 	11552 	11597 	12549 	13043 	13843 	13814 	14071 	14964 	15418 	16151 	16414 	15357 	17447 	18068 	18832 
A	FOR	NR	HR	293 	280 	242 	289 	285 	275 	231 	197 	197 	225 	313 	481 	381 	467 	423 	778 
A	FOR	NR	HU	538 	577 	604 	585 	621 	653 	700 	906 	878 	861 	753 	805 	998 	1879 	2893 	1066 
A	FOR	NR	IE	443 	500 	397 	386 	398 	420 	371 	342 	: 	: 	520 	615 	592 	575 	651 	738 
