freq	iccs	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	F	NR	AL	51 	9 	27 	32 	28 	22 	16 	4 	4 	3 	3 	2 	1 	1 	1 	0 
A	ICCS0101	F	NR	AT	36 	36 	37 	31 	32 	37 	37 	37 	6 	39 	30 	31 	33 	37 	38 	42 
A	ICCS0101	F	NR	BA	: 	: 	: 	: 	: 	20 	21 	20 	10 	: 	10 	25 	24 	22 	22 	0 
A	ICCS0101	F	NR	BE	51 	40 	45 	49 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	BG	52 	53 	54 	43 	37 	34 	36 	37 	37 	34 	39 	36 	33 	32 	28 	59 
A	ICCS0101	F	NR	CH	21 	29 	32 	31 	34 	33 	41 	43 	46 	49 	53 	60 	62 	60 	54 	: 
A	ICCS0101	F	NR	CY	: 	0 	1 	1 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 
A	ICCS0101	F	NR	CZ	: 	: 	: 	96 	89 	96 	107 	108 	119 	114 	119 	109 	115 	109 	119 	110 
A	ICCS0101	F	NR	DE	: 	: 	: 	: 	: 	249 	229 	229 	211 	204 	212 	215 	222 	213 	215 	221 
A	ICCS0101	F	NR	DK	14 	14 	15 	18 	16 	14 	13 	9 	9 	12 	9 	12 	11 	8 	14 	11 
A	ICCS0101	F	NR	EE	: 	: 	32 	25 	: 	28 	: 	23 	21 	18 	15 	16 	13 	13 	15 	11 
A	ICCS0101	F	NR	EL	44 	41 	21 	44 	46 	52 	60 	49 	67 	57 	49 	54 	59 	59 	60 	54 
A	ICCS0101	F	NR	ES	150 	172 	195 	187 	234 	257 	259 	278 	300 	317 	61 	289 	287 	317 	326 	298 
A	ICCS0101	F	NR	FI	54 	52 	58 	56 	60 	64 	53 	60 	54 	51 	45 	45 	39 	43 	39 	30 
A	ICCS0101	F	NR	FR	245 	240 	246 	253 	254 	327 	309 	210 	334 	468 	487 	509 	384 	374 	: 	407 
A	ICCS0101	F	NR	HR	15 	24 	16 	: 	13 	17 	15 	16 	: 	: 	18 	20 	17 	21 	21 	15 
A	ICCS0101	F	NR	HU	: 	: 	: 	: 	: 	139 	155 	136 	: 	170 	37 	93 	133 	164 	132 	136 
A	ICCS0101	F	NR	IE	: 	: 	: 	: 	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	IS	: 	: 	: 	: 	: 	1 	: 	: 	: 	1 	0 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	IT	138 	148 	168 	161 	150 	287 	289 	253 	267 	287 	286 	279 	282 	275 	281 	293 
A	ICCS0101	F	NR	LI	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	LT	82 	79 	82 	90 	83 	97 	100 	91 	89 	89 	89 	74 	71 	56 	46 	49 
A	ICCS0101	F	NR	LU	: 	: 	: 	4 	4 	5 	4 	5 	1 	5 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	LV	: 	: 	: 	: 	: 	45 	46 	49 	47 	42 	38 	39 	33 	33 	34 	33 
A	ICCS0101	F	NR	ME	1 	0 	0 	1 	0 	0 	2 	1 	1 	1 	1 	0 	0 	0 	3 	0 
A	ICCS0101	F	NR	MT	: 	: 	: 	: 	: 	1 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 
A	ICCS0101	F	NR	NO	9 	11 	11 	12 	9 	6 	9 	11 	12 	14 	17 	16 	17 	17 	15 	13 
A	ICCS0101	F	NR	PL	: 	: 	: 	: 	: 	: 	: 	: 	364 	374 	370 	357 	352 	372 	368 	370 
A	ICCS0101	F	NR	PT	13 	13 	13 	15 	14 	12 	15 	15 	16 	17 	17 	15 	11 	16 	13 	: 
A	ICCS0101	F	NR	RO	277 	267 	259 	261 	237 	245 	249 	254 	246 	205 	182 	172 	187 	221 	184 	210 
A	ICCS0101	F	NR	RS	: 	: 	: 	: 	: 	50 	52 	50 	46 	42 	36 	48 	50 	23 	44 	55 
A	ICCS0101	F	NR	SE	28 	29 	25 	28 	26 	29 	25 	28 	31 	33 	38 	41 	45 	55 	61 	60 
A	ICCS0101	F	NR	SI	: 	: 	: 	: 	: 	: 	: 	: 	4 	3 	5 	6 	5 	4 	4 	5 
A	ICCS0101	F	NR	SK	: 	: 	: 	: 	: 	: 	33 	30 	31 	28 	32 	35 	33 	39 	: 	42 
A	ICCS0101	F	NR	TR	: 	48 	120 	126 	172 	1067 	1072 	1112 	1142 	: 	1187 	1201 	1270 	1380 	1518 	1295 
A	ICCS0101	F	NR	UKC-L	185 	213 	211 	211 	231 	256 	256 	260 	279 	281 	278 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	UKM	29 	38 	44 	54 	56 	56 	56 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	UKN	: 	6 	6 	7 	8 	11 	11 	9 	7 	9 	9 	: 	: 	: 	: 	: 
A	ICCS0101	F	NR	XK	: 	12 	16 	20 	23 	16 	14 	11 	: 	13 	15 	8 	10 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	AL	3.22 	0.56 	: 	2.27 	: 	: 	1.11 	0.28 	0.28 	0.21 	0.21 	0.14 	0.07 	0.07 	0.07 	0.00 
A	ICCS0101	F	P_HTHAB	AT	0.84 	0.84 	0.86 	0.72 	0.74 	0.85 	0.85 	0.84 	0.14 	0.87 	0.67 	0.69 	0.73 	0.82 	0.83 	0.91 
A	ICCS0101	F	P_HTHAB	BE	0.94 	0.73 	0.81 	0.88 	1.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A	ICCS0101	F	P_HTHAB	BG	1.35 	1.38 	1.42 	1.14 	0.98 	0.91 	0.97 	1.00 	1.01 	0.93 	1.08 	1.00 	0.92 	0.90 	0.79 	1.76 
A	ICCS0101	F	P_HTHAB	CH	0.54 	0.74 	0.81 	0.78 	0.84 	0.81 	1.00 	1.03 	1.09 	1.15 	1.24 	1.39 	1.43 	1.37 	1.23 	: 
A	ICCS0101	F	P_HTHAB	CY	: 	0.00 	0.24 	0.23 	0.23 	0.45 	: 	: 	: 	: 	: 	: 	: 	: 	0.43 	: 
