freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS0101	Austria	: 	88 	78 	99 	66 	77 	60 	82 	70 	65 	50 	59	54	60	45 
A	NR	ICCS0101	Belgium	: 	: 	: 	: 	: 	: 	: 	216 	282 	320 	229 	267	221	223	211 
A	NR	ICCS0101	Bulgaria	: 	: 	461 	404 	369 	381 	327 	332 	308 	255 	247 	240	196	183	169 
A	NR	ICCS0101	Switzerland	: 	80 	82 	83 	87 	76 	89 	69 	86 	86 	73 	79	75	60	51 
A	NR	ICCS0101	Cyprus	9 	8 	10 	10 	7 	7 	10 	8 	7 	3 	15 	15	15	12	11 
A	NR	ICCS0101	Czechia	: 	207 	: 	181 	186 	183 	175 	179 	157 	147 	161 	134	108	130	126 
A	NR	ICCS0101	Germany	1250 	1343 	1406 	1382 	1265 	998 	1020 	1015 	925 	955 	859 	868	869	808	757 
A	NR	ICCS0101	Denmark	78 	89 	70 	82 	123 	60 	68 	79 	62 	58 	82 	60	70	45	76 
A	NR	ICCS0101	Estonia	: 	302 	246 	214 	178 	196 	157 	143 	137 	142 	147 	91	113	91	93 
A	NR	ICCS0101	Greece	150 	133 	151 	169 	203 	176 	155 	146 	132 	94 	116 	111	132	110	128 
A	NR	ICCS0101	Spain	: 	429 	411 	397 	463 	522 	486 	553 	577 	564 	587 	520	518	476	482 
A	NR	ICCS0101	Finland	130 	147 	146 	156 	139 	113 	143 	148 	156 	132 	103 	144	113	112	128 
A	NR	ICCS0101	France	: 	1406 	1336 	1171 	963 	961 	953 	1051 	1046 	1119 	987 	990	976	879	826 
A	NR	ICCS0101	Metropolitan France	: 	1406 	1336 	1171 	963 	961 	953 	1051 	1046 	1119 	987 	990	976	879	826 
A	NR	ICCS0101	Croatia	243 	161 	188 	133 	137 	131 	121 	111 	86 	88 	76 	89	76	75	66 
A	NR	ICCS0101	Hungary	298 	313 	296 	271 	289 	289 	253 	205 	254 	203 	228 	209	164	175	137 
A	NR	ICCS0101	Ireland	: 	32 	53 	46 	53 	51 	47 	56 	58 	59 	52 	45	65	70	85 
A	NR	ICCS0101	Iceland	: 	0 	0 	1 	2 	0 	2 	5 	1 	4 	0 	3	3	0	2 
A	NR	ICCS0101	Italy	1120 	1008 	1042 	1001 	924 	918 	854 	818 	765 	691 	765 	767	648	663	685 
A	NR	ICCS0101	Liechtenstein	: 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1	0	0	0 
A	NR	ICCS0101	Lithuania	498 	560 	485 	389 	370 	343 	334 	408 	377 	316 	385 	356	404	302	284 
A	NR	ICCS0101	Luxembourg	: 	6 	2 	4 	4 	4 	6 	4 	6 	4 	3 	2	4	9	7 
A	NR	ICCS0101	Latvia	: 	: 	281 	256 	259 	238 	214 	219 	214 	207 	220 	199	127	148	117 
A	NR	ICCS0101	Montenegro	: 	: 	: 	: 	: 	: 	: 	: 	: 	27 	20 	14	22	25	10 
A	NR	ICCS0101	North Macedonia	: 	: 	: 	: 	: 	: 	: 	51 	55 	60 	70 	49	49	45	42 
A	NR	ICCS0101	Malta	: 	: 	: 	: 	: 	5 	10 	4 	5 	5 	0 	7	4	0	4 
A	NR	ICCS0101	Netherlands	: 	276 	299 	211 	208 	176 	203 	180 	202 	195 	202 	191	174	128	143 
A	NR	ICCS0101	Norway	38 	33 	42 	43 	38 	38 	33 	48 	37 	46 	51 	36	33	33	30 
A	NR	ICCS0101	Poland	898 	915 	854 	873 	807 	759 	741 	855 	776 	716 	663 	633	555	490	525 
A	NR	ICCS0101	Portugal	: 	143 	109 	106 	114 	125 	109 	116 	105 	119 	149 	144	135	155	185 
A	NR	ICCS0101	Romania	722 	749 	758 	722 	693 	559 	566 	581 	597 	563 	551 	516	453	438	416 
A	NR	ICCS0101	Serbia	: 	: 	: 	: 	: 	: 	: 	228 	243 	200 	176 	164	157	160	182 
A	NR	ICCS0101	Sweden	102 	98 	83 	97 	91 	93 	99 	89 	84 	101 	81 	102	83	91	111 
A	NR	ICCS0101	Slovenia	: 	: 	45 	38 	36 	15 	25 	36 	15 	29 	21 	29	20	12	24 
A	NR	ICCS0101	Slovakia	: 	129 	128 	132 	140 	128 	141 	143 	129 	128 	146 	122	106	89	89 
A	NR	ICCS0101	Turkey	4043 	3999 	5684 	5955 	5516 	5451 	5068 	6663 	5527 	5394 	5062 	4829	4879	4663	3090 
A	NR	ICCS0101	United Kingdom	670 	727 	753 	679 	739 	750 	766 	850 	891 	1047 	904 	868	764	758	775 
A	NR	ICCS0101	United Kingdom	116 	111 	133 	134 	90 	96 	120 	104 	111 	128 	109 	139	102	123	111 
A	NR	ICCS0101	United Kingdom	: 	86 	24 	39 	42 	75 	34 	48 	52 	45 	33 	41	29	24	30 
A	NR	ICCS02-04	Austria	: 	: 	: 	: 	: 	: 	36211 	39111 	34383 	36998 	40008 	41044	42928	43316	46217 
A	NR	ICCS02-04	Belgium	: 	: 	: 	: 	: 	: 	: 	103770 	103017 	107974 	108573 	109175	111451	113952	115645 
A	NR	ICCS02-04	Bulgaria	: 	: 	: 	: 	: 	: 	12887 	11018 	10950 	12176 	12796 	11284	10623	8766	8696 
A	NR	ICCS02-04	Switzerland	6606 	6002 	6042 	6932 	7472 	8015 	8528 	8152 	8653 	9265 	10151 	11917	11544	12784	13537 
A	NR	ICCS02-04	Cyprus	149 	170 	198 	180 	186 	176 	197 	185 	200 	203 	294 	383	325	319	301 
