Code;Label;Transliteration to Latin;;;;;;
BG3;Северна и Югоизточна България;Severna i Yugoiztochna Bulgaria;;;;;;
BG31;Северозападен;Severozapaden;;;;;;
BG311;Видин;Vidin;;;;;;
BG312;Монтана;Montana;;;;;;
BG313;Враца;Vratsa;;;;;;
BG314;Плевен;Pleven;;;;;;
BG315;Ловеч;Lovech;;;;;;
BG32;Северен централен;Severen tsentralen;;;;;;
BG321;Велико Търново;Veliko Tarnovo;;;;;;
BG322;Габрово;Gabrovo;;;;;;
BG323;Русе;Ruse;;;;;;
BG324;Разград;Razgrad;;;;;;
BG325;Силистра;Silistra;;;;;;
BG33;Североизточен;Severoiztochen;;;;;;
BG331;Варна;Varna;;;;;;
BG332;Добрич;Dobrich;;;;;;
BG333;Шумен;Shumen;;;;;;
BG334;Търговище;Targovishte;;;;;;
BG34;Югоизточен;Yugoiztochen;;;;;;
BG341;Бургас;Burgas;;;;;;
BG342;Сливен;Sliven;;;;;;
BG343;Ямбол;Yambol;;;;;;
BG344;Стара Загора;Stara Zagora;;;;;;
BG4;Югозападна и Южна централна България;Yugozapadna i Yuzhna tsentralna Bulgaria;;;;;;
BG41;Югозападен;Yugozapaden;;;;;;
BG411;София (столица);Sofia (stolitsa);;;;;;
BG412;София;Sofia;;;;;;
BG413;Благоевград;Blagoevgrad;;;;;;
BG414;Перник;Pernik;;;;;;
BG415;Кюстендил;Kyustendil;;;;;;
BG42;Южен централен;Yuzhen tsentralen;;;;;;
BG421;Пловдив;Plovdiv;;;;;;
BG422;Хасково;Haskovo;;;;;;
BG423;Пазарджик;Pazardzhik;;;;;;
BG424;Смолян;Smolyan;;;;;;
BG425;Кърджали;Kardzhali;;;;;;
EL3;Αττική ;Attiki;;;;;;
EL30;Aττική;Attiki;;;;;;
EL301;Βόρειος Τομέας Αθηνών;Voreios Tomeas Athinon;;;;;;
EL302;Δυτικός Τομέας Αθηνών;Dytikos Tomeas Athinon;;;;;;
EL303;Κεντρικός Τομέας Αθηνών;Kentrikos Tomeas Athinon;;;;;;
EL304;Νότιος Τομέας Αθηνών;Notios Tomeas Athinon;;;;;;
EL305;Ανατολική Αττική;Anatoliki Attiki;;;;;;
EL306;Δυτική Αττική;Dytiki Attiki;;;;;;
EL307;Πειραιάς, Νήσοι;Peiraias, Nisoi;;;;;;
EL4;Νησιά Αιγαίου, Κρήτη;Nisia Aigaiou, Kriti;;;;;;
EL41;Βόρειο Αιγαίο;Voreio Aigaio;;;;;;
EL411;Λέσβος, Λήμνος;Lesvos, Limnos;;;;;;
EL412;Ικαρία, Σάμος;Ikaria, Samos;;;;;;
EL413;Χίος;Chios;;;;;;
EL42;Νότιο Αιγαίο;Notio Aigaio;;;;;;
EL421;Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος;Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos;;;;;;
EL422;Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος;Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros,  Syros, Tinos;;;;;;
EL43;Κρήτη;Kriti;;;;;;
EL431;Ηράκλειο;Irakleio;;;;;;
EL432;Λασίθι;Lasithi;;;;;;
EL433;Ρέθυμνο;Rethymni;;;;;;
EL434;Χανιά;Chania;;;;;;
EL5;Βόρεια Ελλάδα;Voreia Elláda;;;;;;
EL51;Aνατολική Μακεδονία, Θράκη;Anatoliki Makedonia, Thraki;;;;;;
EL511;Έβρος;Evros;;;;;;
EL512;Ξάνθη;Xanthi;;;;;;
EL513;Ροδόπη;Rodopi;;;;;;
EL514;Δράμα;Drama;;;;;;
EL515;Θάσος, Καβάλα;Thasos, Kavala;;;;;;
EL52;Κεντρική Μακεδονία;Kentriki Makedonia;;;;;;
EL521;Ημαθία;Imathia;;;;;;
EL522;Θεσσαλονίκη;Thessaloniki;;;;;;
EL523;Κιλκίς;Kilkis;;;;;;
EL524;Πέλλα;Pella;;;;;;
EL525;Πιερία;Pieria;;;;;;
EL526;Σέρρες;Serres;;;;;;
EL527;Χαλκιδική;Chalkidiki;;;;;;
EL53;Δυτική Μακεδονία;Dytiki Makedonia;;;;;;
EL531;Γρεβενά, Κοζάνη;Grevena, Kozani;;;;;;
EL532;Καστοριά;Kastoria;;;;;;
