freq,unit,cities\TIME_PERIOD	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A,NR,AT001C	35 	32 	27 	35 	25 	27 	26 	23 	22 	25 	18 	15 	22 	18 	20 
A,NR,BE001C	: 	: 	: 	: 	: 	: 	: 	33 	41 	68 	48 	40 	32 	37 	20 
A,NR,BG001C	: 	: 	: 	: 	: 	: 	37 	39 	55 	45 	46 	37 	38 	27 	24 
A,NR,CH002C	4 	4 	5 	2 	8 	3 	9 	2 	3 	2 	2 	3 	5 	1 	0 
A,NR,CH004C	6 	3 	1 	4 	3 	4 	4 	0 	0 	2 	1 	3 	1 	3 	0 
A,NR,CY001C	2 	0 	0 	3 	0 	0 	1 	3 	1 	0 	3 	4 	3 	7 	2 
A,NR,DE001C	77 	92 	98 	187 	151 	123 	112 	225 	114 	89 	72 	66 	51 	77 	62 
A,NR,DK001C	18 	15 	10 	25 	56 	10 	9 	8 	10 	4 	8 	6 	16 	9 	7 
A,NR,EE001C	85 	89 	84 	49 	38 	58 	40 	39 	35 	39 	42 	34 	40 	29 	35 
A,NR,EL001C	: 	: 	: 	: 	: 	: 	: 	52 	47 	46 	47 	41 	49 	43 	68 
A,NR,ES001C	: 	: 	: 	: 	44 	50 	55 	62 	72 	49 	72 	48 	43 	46 	38 
A,NR,FI001C	11 	13 	13 	23 	11 	8 	16 	11 	9 	12 	10 	18 	11 	12 	10 
A,NR,FR001C	80 	88 	102 	63 	46 	50 	43 	36 	49 	31 	55 	21 	34 	29 	33 
A,NR,HR001C	: 	: 	: 	: 	: 	: 	: 	5 	16 	12 	15 	8 	17 	11 	6 
A,NR,HU001C	53 	70 	61 	41 	59 	59 	50 	35 	46 	31 	39 	32 	31 	31 	17 
A,NR,IE001C	8 	14 	26 	19 	21 	31 	24 	16 	21 	33 	27 	21 	29 	33 	31 
A,NR,IS001C	1 	0 	0 	0 	0 	0 	2 	2 	1 	4 	0 	2 	1 	0 	2 
A,NR,IT001C	34 	28 	30 	33 	35 	33 	29 	36 	47 	34 	29 	31 	37 	30 	36 
A,NR,LI001C1	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LT001C	78 	109 	85 	72 	56 	51 	54 	56 	36 	52 	54 	47 	47 	38 	41 
A,NR,LU001C	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	0 	1 	1 	4 	3 
A,NR,LV001C	: 	: 	: 	: 	: 	: 	86 	90 	85 	101 	95 	77 	38 	55 	39 
A,NR,MK001C	: 	: 	: 	: 	: 	: 	: 	12 	12 	9 	29 	20 	15 	18 	21 
A,NR,MT001C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,NR,NL002C	50 	61 	64 	27 	32 	27 	19 	29 	23 	19 	27 	19 	24 	4 	27 
A,NR,NO001C	13 	3 	9 	8 	12 	8 	8 	5 	11 	13 	11 	8 	9 	9 	8 
A,NR,PL001C	60 	97 	67 	69 	64 	64 	72 	62 	60 	39 	49 	36 	37 	36 	37 
A,NR,PT001C	30 	41 	29 	44 	22 	18 	10 	16 	20 	11 	11 	10 	15 	16 	14 
A,NR,RO001C	69 	63 	56 	64 	48 	47 	37 	27 	31 	33 	25 	24 	27 	25 	22 
A,NR,RS001C	: 	: 	: 	: 	: 	: 	: 	93 	70 	42 	40 	42 	49 	52 	51 
A,NR,SI001C	: 	: 	6 	4 	3 	3 	7 	6 	2 	2 	3 	7 	4 	1 	3 
A,NR,SK001C	21 	15 	15 	9 	27 	14 	18 	15 	17 	20 	17 	18 	11 	15 	16 
A,NR,TR001C	29 	29 	123 	115 	123 	132 	98 	123 	152 	153 	158 	177 	196 	200 	192 
A,NR,UK001C	160 	169 	167 	139 	190 	155 	183 	189 	202 	196 	212 	195 	177 	169 	164 
A,NR,UK007C	10 	10 	16 	5 	8 	8 	9 	4 	6 	10 	5 	10 	12 	11 	10 
A,NR,UK009C	: 	: 	: 	: 	: 	: 	: 	6 	4 	2 	4 	6 	5 	5 	3 
A,NR,UK012C	42 	34 	9 	20 	16 	18 	11 	21 	15 	16 	4 	8 	15 	9 	6 
