freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,F,NR,AL	569 	527 	565 	511 	373 	338 	401 	881 	976 	1033 	841 	735 	525 	702 	570 	461 
A,PER_CNV,F,NR,AT	5406 	5337 	5561 	5426 	5195 	5158 	4947 	4555 	4340 	4368 	4114 	4103 	3620 	3631 	3707 	3926 
A,PER_CNV,F,NR,BA	: 	: 	: 	1234 	1182 	1698 	1746 	1510 	1274 	1173 	1129 	1166 	822 	919 	925 	908 
A,PER_CNV,F,NR,BE	: 	: 	19388 	20364 	27928 	21541 	17976 	26655 	: 	46607 	45365 	38358 	27726 	: 	: 	: 
A,PER_CNV,F,NR,BG	2133 	2467 	2589 	2960 	2842 	2739 	2599 	2341 	2523 	2138 	2022 	1893 	2005 	2014 	2074 	1870 
A,PER_CNV,F,NR,CH	16435 	16747 	17785 	16383 	17662 	17187 	16979 	18497 	18613 	18084 	18667 	17081 	17081 	17525 	18911 	18777 
A,PER_CNV,F,NR,CY	11202 	10704 	12587 	16516 	13246 	11840 	13757 	10824 	8636 	8725 	9571 	8290 	7662 	7848 	8403 	: 
A,PER_CNV,F,NR,CZ	9502 	9415 	9186 	9202 	9425 	10957 	9008 	9882 	10121 	9500 	9284 	9619 	8083 	7887 	8169 	8452 
A,PER_CNV,F,NR,DE	158618 	155970 	153247 	154543 	148325 	146411 	147003 	146233 	142921 	136330 	133917 	136438 	129169 	119409 	118551 	120735 
A,PER_CNV,F,NR,DK	31618 	33946 	36590 	38255 	38439 	40415 	41134 	40744 	39585 	36546 	35982 	9281 	10352 	9593 	10080 	11475 
A,PER_CNV,F,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	280 	308 	235 
A,PER_CNV,F,NR,ES	: 	: 	: 	: 	: 	: 	30120 	34826 	54828 	62407 	62337 	62161 	45337 	57000 	61554 	57030 
A,PER_CNV,F,NR,FI	43706 	39385 	40889 	39550 	37874 	36851 	36115 	37849 	31775 	13536 	13545 	13986 	13436 	13947 	13572 	14297 
A,PER_CNV,F,NR,FR	68350 	67919 	66886 	66426 	70080 	70057 	58267 	67457 	52051 	51666 	55320 	55268 	44185 	50829 	49144 	52030 
A,PER_CNV,F,NR,HR	2583 	2587 	2445 	2459 	2025 	1752 	1858 	1481 	1756 	1604 	1581 	1728 	1583 	1780 	1647 	1494 
A,PER_CNV,F,NR,HU	12053 	13096 	14269 	11400 	9884 	9168 	9302 	8896 	9088 	8943 	8884 	8460 	7247 	7521 	7594 	7754 
A,PER_CNV,F,NR,IS	: 	: 	: 	: 	: 	429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,NR,IT	41305 	39118 	38784 	41291 	41373 	40993 	38422 	36623 	33118 	30176 	33034 	: 	: 	: 	: 	: 
