freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,FOR,NR,AT	10991 	11309 	12062 	11625 	11795 	12107 	12210 	12857 	12520 	13001 	12033 	11665 	9665 	9795 	10414 	11279 
A,PER_CNV,FOR,NR,BA	: 	: 	: 	39 	43 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,FOR,NR,BE	: 	: 	21553 	23541 	28623 	28530 	24628 	28355 	: 	53018 	51534 	45414 	35396 	: 	: 	: 
A,PER_CNV,FOR,NR,BG	903 	1024 	2286 	1579 	1931 	3464 	4851 	3271 	2281 	1465 	1211 	1177 	1011 	1866 	2515 	2306 
A,PER_CNV,FOR,NR,CH	48519 	50817 	53598 	53143 	58875 	60829 	61374 	61178 	61496 	59938 	60499 	53502 	53502 	54590 	58135 	61297 
A,PER_CNV,FOR,NR,CZ	5498 	5328 	4853 	4853 	4913 	4920 	4777 	4877 	5168 	5128 	5312 	5843 	4721 	5001 	5488 	6396 
A,PER_CNV,FOR,NR,DE	173642 	169315 	169667 	177575 	176942 	185042 	194673 	209603 	231562 	233065 	242311 	255885 	247657 	238665 	238653 	255669 
A,PER_CNV,FOR,NR,DK	: 	: 	: 	: 	: 	: 	36347 	29598 	30119 	29661 	33005 	11500 	11104 	10838 	11527 	12958 
A,PER_CNV,FOR,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2179 	1644 	1393 
A,PER_CNV,FOR,NR,ES	: 	0 	: 	: 	: 	: 	55356 	54897 	65550 	67424 	70444 	74506 	57836 	72755 	81231 	80426 
A,PER_CNV,FOR,NR,FI	19536 	18243 	21301 	22280 	21133 	20263 	19615 	21402 	19004 	10644 	10541 	10643 	9165 	8537 	8947 	9534 
