freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_BGHT,NR,AL	: 	: 	: 	: 	: 	4432 	21425 	14098 	14870 	11952 	11429 	20698 	18129 	15207 	: 
A,ADM,CRT_BGHT,NR,BA	8115 	9214 	10992 	12066 	11611 	14559 	13797 	9109 	7259 	7026 	7632 	7932 	7279 	7938 	9426 
A,ADM,CRT_BGHT,NR,BG	: 	: 	: 	27794 	28173 	25866 	24306 	25936 	24620 	30872 	30600 	34205 	28782 	28075 	27299 
A,ADM,CRT_BGHT,NR,CH	15361 	: 	20209 	: 	23788 	: 	: 	: 	9021 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_BGHT,NR,CZ	: 	: 	: 	5274 	8501 	8034 	8568 	9374 	10100 	11113 	11865 	10576 	10015 	9303 	7702 
A,ADM,CRT_BGHT,NR,DE	127735 	123183 	123864 	119531 	132789 	151463 	142947 	144628 	230801 	352331 	199170 	170379 	150041 	153720 	145155 
A,ADM,CRT_BGHT,NR,EE	2736 	3264 	3556 	3206 	2855 	2957 	3786 	3371 	2956 	2986 	2478 	2533 	2737 	3119 	2770 
A,ADM,CRT_BGHT,NR,EL	: 	: 	: 	: 	: 	65353 	65131 	54379 	53934 	60100 	60320 	59157 	45159 	46741 	52463 
A,ADM,CRT_BGHT,NR,ES	256609 	260708 	246427 	251807 	193871 	164704 	180127 	166195 	162186 	165146 	175010 	199523 	154977 	184562 	183873 
A,ADM,CRT_BGHT,NR,FI	19432 	21376 	22079 	20147 	19313 	19458 	20582 	20262 	27764 	21711 	18751 	20000 	19510 	21906 	21282 
A,ADM,CRT_BGHT,NR,FR	: 	: 	: 	192262 	187526 	184997 	207707 	200734 	31308 	193532 	213029 	231280 	210514 	241384 	241187 
A,ADM,CRT_BGHT,NR,HR	13298 	14761 	14470 	13520 	12011 	13813 	13942 	14339 	14339 	11816 	13430 	13034 	12255 	13408 	12724 
